"time in ms","power in W"
"159","+2.04086209E-05"
"259","+2.04576372E-05"
"391","+2.04361222E-05"
"519","+2.03919808E-05"
"651","+2.03773252E-05"
"779","+2.04072912E-05"
"919","+2.04135995E-05"
"1149","+2.04123535E-05"
"1280","+2.04052358E-05"
"1419","+2.04172175E-05"
"1551","+2.03746658E-05"
"1683","+2.03956370E-05"
"1822","+2.03969557E-05"
"1949","+2.03978452E-05"
"2180","+2.04002827E-05"
"2319","+2.03979816E-05"
"2449","+2.03901564E-05"
"2579","+2.04106891E-05"
"2712","+2.04176613E-05"
"2839","+2.04293519E-05"
"2969","+2.04102653E-05"
"3109","+2.04410917E-05"
"3241","+2.04266762E-05"
"3369","+2.03963664E-05"
"3499","+2.04051739E-05"
"3639","+2.04252592E-05"
"3772","+2.04289536E-05"
"3900","+2.03758063E-05"
"4042","+2.04419175E-05"
"4169","+2.04051230E-05"
"4301","+2.04007047E-05"
"4439","+2.04393418E-05"
"4569","+2.04117296E-05"
"4700","+2.03963518E-05"
"4839","+2.04323478E-05"
"4970","+2.03981581E-05"
"5210","+2.04326061E-05"
"5339","+2.04423177E-05"
"5469","+2.04107655E-05"
"5609","+2.04342377E-05"
"5740","+2.04495245E-05"
"5879","+2.03967829E-05"
"6010","+2.04423141E-05"
"6159","+2.04392363E-05"
"6281","+2.04230510E-05"
"6409","+2.04344815E-05"
"6541","+2.04588778E-05"
"6680","+2.04218668E-05"
"6819","+2.04174994E-05"
"6952","+2.04176831E-05"
"7190","+2.04688840E-05"
"7322","+2.04314911E-05"
"7459","+2.04509124E-05"
"7592","+2.04580283E-05"
"7730","+2.04088592E-05"
"7869","+2.04309690E-05"
"8003","+2.04122516E-05"
"8149","+2.04232983E-05"
"8274","+2.04354528E-05"
"8410","+2.04534626E-05"
"8549","+2.04106891E-05"
"8685","+2.04290100E-05"
"8820","+2.04395456E-05"
"8959","+2.04557145E-05"
"9199","+2.04374337E-05"
"9333","+2.04090138E-05"
"9471","+2.04379794E-05"
"9611","+2.04575226E-05"
"9750","+2.04408170E-05"
"9889","+2.04735552E-05"
"10024","+2.04278404E-05"
"10159","+2.04598382E-05"
"10297","+2.04557564E-05"
"10439","+2.04668304E-05"
"10569","+2.04528333E-05"
"10702","+2.04160333E-05"
"10839","+2.04739445E-05"
"10970","+2.04195003E-05"
"11212","+2.04660810E-05"
"11339","+2.04742828E-05"
"11473","+2.04328935E-05"
"11610","+2.04577664E-05"
"11749","+2.04123335E-05"
"11879","+2.03981635E-05"
"12013","+2.04716835E-05"
"12149","+2.04202752E-05"
"12291","+2.04624466E-05"
"12419","+2.04493244E-05"
"12551","+2.04278513E-05"
"12689","+2.04732660E-05"
"12822","+2.04066273E-05"
"12959","+2.04462740E-05"
"13190","+2.04620410E-05"
"13329","+2.04161915E-05"
"13462","+2.04255648E-05"
"13599","+2.04111439E-05"
"13740","+2.04566768E-05"
"13871","+2.04131193E-05"
"14009","+2.04660300E-05"
"14149","+2.04456446E-05"
"14279","+2.03952259E-05"
"14419","+2.04181106E-05"
"14551","+2.03981817E-05"
"14689","+2.04346579E-05"
"14829","+2.04172702E-05"
"14963","+2.04317967E-05"
"15199","+2.04133048E-05"
"15339","+2.04486605E-05"
"15473","+2.04141033E-05"
"15611","+2.04436310E-05"
"15749","+2.04000735E-05"
"15889","+2.04262160E-05"
"16023","+2.04282715E-05"
"16169","+2.03925447E-05"
"16299","+2.03830368E-05"
"16436","+2.04077114E-05"
"16574","+2.04120461E-05"
