"time in ms","power in W"
"244","+1.93817032E-04"
"369","+1.93871063E-04"
"514","+1.93862681E-04"
"655","+1.93837681E-04"
"818","+1.93795466E-04"
"935","+1.93864966E-04"
"1171","+1.93841843E-04"
"1317","+1.93747139E-04"
"1458","+1.93844855E-04"
"1590","+1.93787302E-04"
"1732","+1.93793574E-04"
"1875","+1.93698826E-04"
"2009","+1.93760163E-04"
"2146","+1.93758082E-04"
"2280","+1.93662490E-04"
"2426","+1.93756729E-04"
"2573","+1.93696702E-04"
"2695","+1.93751708E-04"
"2859","+1.93702508E-04"
"2994","+1.93618340E-04"
"3128","+1.93677668E-04"
"3249","+1.93625587E-04"
"3388","+1.93642307E-04"
"3525","+1.93573767E-04"
"3689","+1.93703090E-04"
"3795","+1.93521351E-04"
"3959","+1.93487736E-04"
"4176","+1.93631218E-04"
"4316","+1.93669533E-04"
"4458","+1.93486092E-04"
"4599","+1.93487009E-04"
"4749","+1.93515079E-04"
"4928","+1.93568194E-04"
"5040","+1.93561486E-04"
"5216","+1.93408661E-04"
"5322","+1.93489643E-04"
"5494","+1.93615080E-04"
"5601","+1.93514745E-04"
"5744","+1.93387823E-04"
"5903","+1.93429543E-04"
"6076","+1.93475134E-04"
"6293","+1.93505330E-04"
"6466","+1.93501110E-04"
"6577","+1.93448956E-04"
"6723","+1.93488784E-04"
"6866","+1.93481144E-04"
"7015","+1.93437503E-04"
"7260","+1.93493484E-04"
"7402","+1.93518383E-04"
"7543","+1.93307802E-04"
"7686","+1.93479922E-04"
"7829","+1.93304542E-04"
"7977","+1.93173328E-04"
"8221","+1.93341926E-04"
"8357","+1.93342683E-04"
"8501","+1.93226151E-04"
"8674","+1.93297135E-04"
"8785","+1.93406158E-04"
"8925","+1.93312721E-04"
"9072","+1.93320302E-04"
"9215","+1.93334185E-04"
"9355","+1.93305357E-04"
"9497","+1.93292406E-04"
"9639","+1.93358384E-04"
"9777","+1.93270607E-04"
"9924","+1.93240179E-04"
"10071","+1.93280692E-04"
"10225","+1.93256856E-04"
"10347","+1.93353742E-04"
"10485","+1.93261221E-04"
"10622","+1.93235799E-04"
"10755","+1.93291926E-04"
"10902","+1.93242915E-04"
"11037","+1.93323896E-04"
"11286","+1.93239932E-04"
"11411","+1.93230851E-04"
"11552","+1.93247572E-04"
"11695","+1.93297121E-04"
"11864","+1.93270942E-04"
"11975","+1.93266169E-04"
"12147","+1.93276021E-04"
"12266","+1.93210595E-04"
"12425","+1.93253916E-04"
"12528","+1.93270491E-04"
"12671","+1.93246902E-04"
"12816","+1.93203479E-04"
"12947","+1.93252345E-04"
"13085","+1.93262735E-04"
"13225","+1.93269268E-04"
"13368","+1.93185202E-04"
"13510","+1.93229731E-04"
"13664","+1.93220767E-04"
"13795","+1.93190208E-04"
"13936","+1.93207496E-04"
"14080","+1.93237764E-04"
"14325","+1.93215485E-04"
"14494","+1.93187851E-04"
"14605","+1.93182175E-04"
"14735","+1.93155065E-04"
"14886","+1.93155181E-04"
"15030","+1.93130327E-04"
"15275","+1.93131928E-04"
"15417","+1.93108950E-04"
"15562","+1.93154410E-04"
"15707","+1.93125321E-04"
"15845","+1.93135813E-04"
"15988","+1.93127591E-04"
"16132","+1.93117899E-04"
"16269","+1.93106054E-04"
"16407","+1.93129425E-04"
"16546","+1.93101092E-04"
"16692","+1.93107844E-04"
"16839","+1.93118234E-04"
"16977","+1.93083164E-04"
"17120","+1.93113592E-04"
"17366","+1.93111438E-04"
"17506","+1.93105196E-04"
"17651","+1.93124230E-04"
"17824","+1.93090673E-04"
"17934","+1.93069209E-04"
"18073","+1.93113956E-04"
"18317","+1.93163272E-04"
"18465","+1.93065876E-04"
"18610","+1.93138301E-04"
"18756","+1.93086526E-04"
"18896","+1.93056694E-04"
"19043","+1.93096028E-04"
"19287","+1.93074084E-04"
"19429","+1.93067302E-04"
"19565","+1.93086205E-04"
"19706","+1.93072861E-04"
"19848","+1.93121363E-04"
"19984","+1.93150408E-04"
"20128","+1.93083586E-04"
"20271","+1.93101179E-04"
"20414","+1.93092827E-04"
"20566","+1.93110813E-04"
"20701","+1.93075059E-04"
"20841","+1.93116997E-04"
"21005","+1.93123415E-04"
"21125","+1.93086409E-04"
"21272","+1.93128013E-04"
"21408","+1.93108979E-04"
"21554","+1.93068161E-04"
"21696","+1.93108077E-04"
"21836","+1.93120548E-04"
"21980","+1.93132204E-04"
"22123","+1.93047890E-04"
