"time in ms","power in W"
"1178","+3.04003537E-04"
"1297","+3.04017682E-04"
"1433","+3.03997454E-04"
"1567","+3.03989247E-04"
"1699","+3.03964625E-04"
"1837","+3.03929002E-04"
"1970","+3.03904730E-04"
"2127","+3.03934357E-04"
"2248","+3.03991867E-04"
"2387","+3.03983805E-04"
"2518","+3.03924811E-04"
"2647","+3.03907786E-04"
"2778","+3.03861481E-04"
"2917","+3.03920446E-04"
"3161","+3.03793553E-04"
"3287","+3.03851266E-04"
"3417","+3.03859328E-04"
"3557","+3.03883513E-04"
"3691","+3.03820416E-04"
"3832","+3.03868263E-04"
"3967","+3.03787820E-04"
"4207","+3.03786393E-04"
"4338","+3.03763693E-04"
"4477","+3.03768582E-04"
"4610","+3.03768844E-04"
"4737","+3.03711800E-04"
"4883","+3.03759298E-04"
"5010","+3.03761655E-04"
"5148","+3.03811918E-04"
"5277","+3.03722336E-04"
"5410","+3.03706882E-04"
"5547","+3.03725159E-04"
"5678","+3.03736539E-04"
"5807","+3.03702574E-04"
"5944","+3.03713488E-04"
"6177","+3.03685782E-04"
"6309","+3.03718873E-04"
"6447","+3.03670124E-04"
"6578","+3.03658540E-04"
"6717","+3.03701119E-04"
"6849","+3.03669804E-04"
"6987","+3.03650420E-04"
"7137","+3.03634588E-04"
"7257","+3.03614186E-04"
"7389","+3.03650158E-04"
"7527","+3.03606008E-04"
"7658","+3.03590205E-04"
"7797","+3.03592358E-04"
"7930","+3.03608627E-04"
"8167","+3.03576147E-04"
"8309","+3.03600973E-04"
"8443","+3.03580920E-04"
"8582","+3.03533016E-04"
"8718","+3.03567824E-04"
"8854","+3.03515524E-04"
"8993","+3.03512381E-04"
"9132","+3.03556590E-04"
"9271","+3.03517765E-04"
"9408","+3.03522509E-04"
"9547","+3.03515582E-04"
"9691","+3.03542620E-04"
"9827","+3.03479581E-04"
"9962","+3.03524168E-04"
"10203","+3.03481938E-04"
"10345","+3.03437846E-04"
"10485","+3.03423381E-04"
"10627","+3.03424866E-04"
"10768","+3.03516164E-04"
"10918","+3.03449458E-04"
"11037","+3.03410372E-04"
"11172","+3.03475070E-04"
"11307","+3.03476932E-04"
"11448","+3.03469569E-04"
"11577","+3.03454784E-04"
"11719","+3.03430250E-04"
"11847","+3.03419190E-04"
"11991","+3.03397799E-04"
"12221","+3.03384528E-04"
"12358","+3.03374574E-04"
"12498","+3.03428154E-04"
"12638","+3.03362613E-04"
"12777","+3.03347304E-04"
"12912","+3.03379726E-04"
"13053","+3.03378853E-04"
"13194","+3.03367677E-04"
"13332","+3.03349516E-04"
"13470","+3.03335895E-04"
"13614","+3.03360459E-04"
"13760","+3.03357898E-04"
"13887","+3.03353678E-04"
"14027","+3.03359469E-04"
"14157","+3.03273904E-04"
"14302","+3.03322449E-04"
"14436","+3.03370471E-04"
"14583","+3.03315173E-04"
"14717","+3.03267676E-04"
"14850","+3.03313282E-04"
"14990","+3.03332141E-04"
"15230","+3.03294393E-04"
"15360","+3.03321955E-04"
"15499","+3.03348497E-04"
"15640","+3.03310342E-04"
"15781","+3.03308596E-04"
"15914","+3.03245644E-04"
"16053","+3.03344277E-04"
"16189","+3.03256384E-04"
"16328","+3.03239387E-04"
"16467","+3.03264416E-04"
"16608","+3.03245819E-04"
"16741","+3.03254958E-04"
"16882","+3.03237350E-04"
"17021","+3.03290028E-04"
"17259","+3.03287437E-04"
"17392","+3.03235429E-04"
"17531","+3.03237321E-04"
"17670","+3.03216628E-04"
"17809","+3.03247041E-04"
"17949","+3.03240231E-04"
"18089","+3.03191191E-04"
"18227","+3.03197216E-04"
"18363","+3.03214620E-04"
"18501","+3.03195848E-04"
"18639","+3.03187437E-04"
"18777","+3.03174922E-04"
"18917","+3.03221197E-04"
"19062","+3.03184439E-04"
"19302","+3.03182198E-04"
"19444","+3.03150417E-04"
"19585","+3.03165696E-04"
"19727","+3.03193083E-04"
"19868","+3.03189125E-04"
"20007","+3.03188281E-04"
"20243","+3.03189707E-04"
"20381","+3.03162931E-04"
"20518","+3.03139008E-04"
"20657","+3.03092878E-04"
"20797","+3.03168956E-04"
"20937","+3.03129520E-04"
"21079","+3.03137524E-04"
