"time in ms","power in W"
"137","+2.19968333E-05"
"256","+2.19784015E-05"
"398","+2.19790691E-05"
"532","+2.20014736E-05"
"671","+2.19742506E-05"
"808","+2.19802005E-05"
"951","+2.19888316E-05"
"1190","+2.20062939E-05"
"1332","+2.19895119E-05"
"1470","+2.20038237E-05"
"1611","+2.20065740E-05"
"1752","+2.19949543E-05"
"1887","+2.19940812E-05"
"2026","+2.19850517E-05"
"2171","+2.19722660E-05"
"2307","+2.20117545E-05"
"2443","+2.19989397E-05"
"2584","+2.20172751E-05"
"2717","+2.19863214E-05"
"2857","+2.19768608E-05"
"2997","+2.19835183E-05"
"3147","+2.20276470E-05"
"3297","+2.20163893E-05"
"3413","+2.19933372E-05"
"3555","+2.20212423E-05"
"3700","+2.19909507E-05"
"3847","+2.19804260E-05"
"3993","+2.19969770E-05"
"4138","+2.19832309E-05"
"4284","+2.19982248E-05"
"4423","+2.19902922E-05"
"4566","+2.19882295E-05"
"4707","+2.19893518E-05"
"4852","+2.20128313E-05"
"4998","+2.19721205E-05"
"5147","+2.20148540E-05"
"5281","+2.20021211E-05"
"5418","+2.19919439E-05"
"5558","+2.19925350E-05"
"5700","+2.19937665E-05"
"5843","+2.19835165E-05"
"5990","+2.19827652E-05"
"6223","+2.19971098E-05"
"6363","+2.20116708E-05"
"6507","+2.19839258E-05"
"6653","+2.20051661E-05"
"6797","+2.19864251E-05"
"6940","+2.19834383E-05"
"7189","+2.20124421E-05"
"7330","+2.19997783E-05"
"7479","+2.20054280E-05"
"7619","+2.20147340E-05"
"7761","+2.19966878E-05"
"7910","+2.20024485E-05"
"8060","+2.19993453E-05"
"8209","+2.19960257E-05"
"8342","+2.19886806E-05"
"8489","+2.19923077E-05"
"8632","+2.19880767E-05"
"8779","+2.19980848E-05"
"8925","+2.19887152E-05"
"9073","+2.19987251E-05"
"9214","+2.19932681E-05"
"9357","+2.20159163E-05"
"9499","+2.19933972E-05"
"9645","+2.19924768E-05"
"9795","+2.19800131E-05"
"9940","+2.19889334E-05"
"10099","+2.20083220E-05"
"10242","+2.19998892E-05"
"10383","+2.19972826E-05"
"10525","+2.20021411E-05"
"10667","+2.19817211E-05"
"10807","+2.20001657E-05"
"10952","+2.19943158E-05"
"11098","+2.20002767E-05"
"11237","+2.19883113E-05"
"11383","+2.19936937E-05"
"11531","+2.20090587E-05"
"11680","+2.19776048E-05"
"11819","+2.19970061E-05"
"11964","+2.19882386E-05"
"12106","+2.19953672E-05"
"12247","+2.20064521E-05"
"12404","+2.20069069E-05"
"12532","+2.19904086E-05"
"12672","+2.19953690E-05"
"12814","+2.19818849E-05"
"12955","+2.19823996E-05"
"13094","+2.19903104E-05"
"13236","+2.19856538E-05"
"13377","+2.19868070E-05"
"13507","+2.19941103E-05"
"13647","+2.19954327E-05"
"13790","+2.20050861E-05"
"13930","+2.19925241E-05"
"14120","+2.19992071E-05"
"14308","+2.19696067E-05"
"14449","+2.19949343E-05"
"14594","+2.19987087E-05"
"14727","+2.19826979E-05"
"14859","+2.19689773E-05"
"15019","+2.19922458E-05"
"15258","+2.19860158E-05"
"15404","+2.20048169E-05"
"15548","+2.19719714E-05"
"15690","+2.19848789E-05"
"15834","+2.19745798E-05"
"15980","+2.19864214E-05"
"16121","+2.19917692E-05"
"16264","+2.19953181E-05"
"16406","+2.19929461E-05"
"16550","+2.19734684E-05"
"16693","+2.19863814E-05"
"16840","+2.19865124E-05"
