"time in ms","power in dBm"
"35151","+6.66790009E+00"
"35308","+6.66793633E+00"
"35461","+6.66790771E+00"
"35615","+6.66792297E+00"
"35777","+6.66789818E+00"
"35939","+6.66786957E+00"
"36095","+6.66791153E+00"
"36251","+6.66793442E+00"
"36513","+6.66791916E+00"
"36678","+6.66793060E+00"
"36837","+6.66792870E+00"
"36998","+6.66787910E+00"
"37162","+6.66786385E+00"
"37321","+6.66792870E+00"
"37479","+6.66801071E+00"
"37635","+6.66794586E+00"
"37793","+6.66789246E+00"
"37948","+6.66789436E+00"
"38106","+6.66789627E+00"
"38265","+6.66792870E+00"
"38525","+6.66798782E+00"
"38683","+6.66796112E+00"
"38847","+6.66791153E+00"
"38994","+6.66793442E+00"
"39151","+6.66800117E+00"
"39311","+6.66800690E+00"
"39466","+6.66798592E+00"
"39621","+6.66798210E+00"
"39781","+6.66801071E+00"
"39944","+6.66805267E+00"
"40102","+6.66799545E+00"
"40259","+6.66795731E+00"
"40519","+6.66795921E+00"
"40680","+6.66793823E+00"
"40842","+6.66795921E+00"
"41006","+6.66795349E+00"
"41166","+6.66797066E+00"
"41326","+6.66800117E+00"
"41484","+6.66801453E+00"
"41646","+6.66796875E+00"
"41814","+6.66798019E+00"
"41970","+6.66798401E+00"
"42129","+6.66800690E+00"
"42288","+6.66798592E+00"
"42553","+6.66798019E+00"
"42709","+6.66799355E+00"
"42868","+6.66798782E+00"
"43026","+6.66798210E+00"
"43184","+6.66795921E+00"
"43344","+6.66800308E+00"
"43501","+6.66799736E+00"
"43662","+6.66795349E+00"
"43823","+6.66796494E+00"
"43972","+6.66800690E+00"
"44132","+6.66798782E+00"
"44290","+6.66802406E+00"
"44557","+6.66801643E+00"
"44717","+6.66804123E+00"
"44878","+6.66802597E+00"
"45033","+6.66799164E+00"
"45195","+6.66801453E+00"
"45359","+6.66804123E+00"
"45515","+6.66800880E+00"
"45674","+6.66798401E+00"
"45833","+6.66806030E+00"
"45985","+6.66802406E+00"
"46141","+6.66801071E+00"
"46306","+6.66804886E+00"
"46572","+6.66802788E+00"
"46732","+6.66799164E+00"
"46896","+6.66802025E+00"
"47058","+6.66805649E+00"
"47216","+6.66804123E+00"
"47377","+6.66805267E+00"
"47536","+6.66803360E+00"
"47693","+6.66807747E+00"
"47852","+6.66811752E+00"
"48014","+6.66809845E+00"
"48176","+6.66812515E+00"
"48340","+6.66811562E+00"
"48601","+6.66808891E+00"
"48772","+6.66809082E+00"
"48936","+6.66812706E+00"
"49099","+6.66809273E+00"
"49266","+6.66812134E+00"
"49426","+6.66813278E+00"
"49586","+6.66815186E+00"
"49749","+6.66806030E+00"
"49917","+6.66808891E+00"
"50080","+6.66813278E+00"
"50238","+6.66813087E+00"
"50404","+6.66813850E+00"
"50555","+6.66810036E+00"
"50719","+6.66810417E+00"
"50889","+6.66814995E+00"
"51066","+6.66809845E+00"
"51224","+6.66809273E+00"
"51389","+6.66806412E+00"
"51656","+6.66810989E+00"
"51814","+6.66811562E+00"
"51974","+6.66811752E+00"
"52138","+6.66812515E+00"
"52304","+6.66815186E+00"
"52469","+6.66815948E+00"
"52629","+6.66810989E+00"
"52794","+6.66806221E+00"
"52950","+6.66813660E+00"
"53108","+6.66812325E+00"
"53269","+6.66807747E+00"
"53439","+6.66814613E+00"
"53705","+6.66810036E+00"
"53865","+6.66814995E+00"
"54025","+6.66817093E+00"
"54184","+6.66816521E+00"
"54346","+6.66811371E+00"
"54510","+6.66822624E+00"
"54673","+6.66811371E+00"
"54829","+6.66810799E+00"
"54991","+6.66813278E+00"
"55153","+6.66816330E+00"
"55319","+6.66814995E+00"
"55484","+6.66813087E+00"
"55646","+6.66810799E+00"
"55805","+6.66816902E+00"
"55967","+6.66816521E+00"
"56129","+6.66810989E+00"
"56289","+6.66817856E+00"
"56457","+6.66815567E+00"
"56719","+6.66810226E+00"
"56890","+6.66814804E+00"
"57055","+6.66817284E+00"
"57221","+6.66814995E+00"
"57391","+6.66818810E+00"
"57560","+6.66818810E+00"
"57723","+6.66820717E+00"
"57891","+6.66820526E+00"
"58068","+6.66820526E+00"
"58233","+6.66817856E+00"
