"time in ms","power in dBm"
"239","-4.35484695E+00"
"376","-4.35432434E+00"
"528","-4.35795212E+00"
"680","-4.35475159E+00"
"828","-4.35548401E+00"
"975","-4.35590363E+00"
"1135","-4.35933304E+00"
"1285","-4.35659409E+00"
"1439","-4.35567856E+00"
"1586","-4.35776901E+00"
"1738","-4.35638046E+00"
"1890","-4.35784531E+00"
"2040","-4.35689545E+00"
"2193","-4.35833740E+00"
"2339","-4.35801697E+00"
"2488","-4.35888290E+00"
"2639","-4.35866928E+00"
"2791","-4.35688400E+00"
"2945","-4.35908890E+00"
"3198","-4.35470963E+00"
"3347","-4.35536957E+00"
"3497","-4.35476685E+00"
"3654","-4.35467911E+00"
"3806","-4.35457611E+00"
"3957","-4.35752869E+00"
"4212","-4.35797501E+00"
"4365","-4.35543823E+00"
"4517","-4.35855103E+00"
"4668","-4.35750961E+00"
"4824","-4.35791397E+00"
"4978","-4.35906601E+00"
"5235","-4.35647202E+00"
"5387","-4.35571289E+00"
"5537","-4.35705948E+00"
"5687","-4.35934830E+00"
"5841","-4.35742188E+00"
"5992","-4.36053848E+00"
"6243","-4.35990524E+00"
"6393","-4.35820389E+00"
"6545","-4.35913086E+00"
"6698","-4.35839844E+00"
"6846","-4.35803604E+00"
"6998","-4.35602570E+00"
"7255","-4.35561752E+00"
"7413","-4.35678101E+00"
"7563","-4.36006546E+00"
"7715","-4.35728836E+00"
"7869","-4.35718536E+00"
"8022","-4.35582352E+00"
"8193","-4.35787201E+00"
"8341","-4.35953522E+00"
"8493","-4.35947037E+00"
"8647","-4.36011887E+00"
"8798","-4.35462570E+00"
"8951","-4.35760498E+00"
"9105","-4.35488129E+00"
"9250","-4.35570908E+00"
"9405","-4.35614014E+00"
"9556","-4.35676575E+00"
"9712","-4.35606003E+00"
"9871","-4.35980225E+00"
"10022","-4.35816193E+00"
"10275","-4.35844803E+00"
"10427","-4.35608292E+00"
"10576","-4.35635757E+00"
"10730","-4.35805130E+00"
"10880","-4.35531235E+00"
"11032","-4.35579681E+00"
"11280","-4.35683441E+00"
"11432","-4.35728836E+00"
"11579","-4.35693741E+00"
"11730","-4.35680771E+00"
"11880","-4.35734558E+00"
"12032","-4.35866165E+00"
"12282","-4.35893631E+00"
"12430","-4.35860825E+00"
"12583","-4.35877228E+00"
"12734","-4.35821533E+00"
"12888","-4.35987854E+00"
"13037","-4.35652542E+00"
"13291","-4.35573196E+00"
"13437","-4.36067581E+00"
"13592","-4.35659409E+00"
"13747","-4.35982513E+00"
"13898","-4.35942078E+00"
"14052","-4.35639572E+00"
"14302","-4.35429001E+00"
"14451","-4.35541153E+00"
"14603","-4.35522079E+00"
"14758","-4.35649872E+00"
"14908","-4.35931778E+00"
"15062","-4.35925293E+00"
"15314","-4.35994339E+00"
"15469","-4.35968399E+00"
"15624","-4.35707474E+00"
"15773","-4.35693359E+00"
"15925","-4.35664749E+00"
"16077","-4.35722733E+00"
"16335","-4.35983276E+00"
"16489","-4.35889816E+00"
"16642","-4.35761261E+00"
"16792","-4.35709381E+00"
"16945","-4.35875702E+00"
"17099","-4.35609818E+00"
"17256","-4.35992813E+00"
"17412","-4.35734177E+00"
"17569","-4.36034012E+00"
"17721","-4.35720444E+00"
"17873","-4.35699081E+00"
"18031","-4.35781860E+00"
"18282","-4.36014557E+00"
"18433","-4.36057663E+00"
"18589","-4.35973358E+00"
"18739","-4.35617828E+00"
"18897","-4.35809708E+00"
"19049","-4.35697937E+00"
"19305","-4.35566330E+00"
"19457","-4.35896683E+00"
"19610","-4.35998917E+00"
"19762","-4.35982895E+00"
"19908","-4.35977173E+00"
"20060","-4.36021805E+00"
"20314","-4.36082458E+00"
"20467","-4.35800552E+00"
"20620","-4.35517120E+00"
"20772","-4.35556412E+00"
"20918","-4.35679245E+00"
"21072","-4.35506058E+00"
"21327","-4.35480881E+00"
"21479","-4.35880280E+00"
"21636","-4.35816574E+00"
"21796","-4.35485077E+00"
"21950","-4.35778427E+00"
"22104","-4.35747147E+00"
