"time in ms","power in dBm"
"1144","-4.19807053E+00"
"1280","-4.19924164E+00"
"1430","-4.19882584E+00"
"1584","-4.20019913E+00"
"1739","-4.19945908E+00"
"1902","-4.20027161E+00"
"2052","-4.20227432E+00"
"2201","-4.20001602E+00"
"2347","-4.19608307E+00"
"2496","-4.19724655E+00"
"2647","-4.19865417E+00"
"2797","-4.19761276E+00"
"2943","-4.19884109E+00"
"3089","-4.19710159E+00"
"3236","-4.20248795E+00"
"3383","-4.20111465E+00"
"3534","-4.20142365E+00"
"3682","-4.20241547E+00"
"3831","-4.20016861E+00"
"3980","-4.19956207E+00"
"4131","-4.20266342E+00"
"4276","-4.19916153E+00"
"4425","-4.19958496E+00"
"4576","-4.19962311E+00"
"4726","-4.19808960E+00"
"4875","-4.20016861E+00"
"5021","-4.19901657E+00"
"5174","-4.20208359E+00"
"5323","-4.19671631E+00"
"5477","-4.20008850E+00"
"5627","-4.19832993E+00"
"5780","-4.19758987E+00"
"5935","-4.20326233E+00"
"6084","-4.20175552E+00"
"6339","-4.20174789E+00"
"6497","-4.20163345E+00"
"6651","-4.19889832E+00"
"6800","-4.19843292E+00"
"6944","-4.20046616E+00"
"7094","-4.19738007E+00"
"7346","-4.19732666E+00"
"7499","-4.19773483E+00"
"7648","-4.19654083E+00"
"7803","-4.19820023E+00"
"7951","-4.20367813E+00"
"8106","-4.20355988E+00"
"8363","-4.20303726E+00"
"8515","-4.20106125E+00"
"8668","-4.19673157E+00"
"8817","-4.19650650E+00"
"8971","-4.19705582E+00"
"9126","-4.20164490E+00"
"9384","-4.20287323E+00"
"9532","-4.20181274E+00"
"9694","-4.19742203E+00"
"9852","-4.19796371E+00"
"10010","-4.19667053E+00"
"10170","-4.20032501E+00"
"10324","-4.19893265E+00"
"10483","-4.19881439E+00"
"10646","-4.20065308E+00"
"10816","-4.19691849E+00"
"10977","-4.19732285E+00"
"11127","-4.20223236E+00"
"11383","-4.20267868E+00"
"11544","-4.19852829E+00"
"11696","-4.20119858E+00"
"11846","-4.19866180E+00"
"12000","-4.19882202E+00"
"12149","-4.19797516E+00"
"12404","-4.20056152E+00"
"12556","-4.19854736E+00"
"12720","-4.19771194E+00"
"12871","-4.19839096E+00"
"13026","-4.20238113E+00"
"13178","-4.20336914E+00"
"13333","-4.19910812E+00"
"13481","-4.19768143E+00"
"13631","-4.19935989E+00"
"13783","-4.19632339E+00"
"13935","-4.19707489E+00"
"14084","-4.20035553E+00"
"14234","-4.19651031E+00"
"14382","-4.19913101E+00"
"14533","-4.19751358E+00"
"14684","-4.19907379E+00"
"14839","-4.19936371E+00"
"14984","-4.19820023E+00"
"15136","-4.19787598E+00"
"15290","-4.19667816E+00"
"15441","-4.19527435E+00"
"15592","-4.19763947E+00"
"15755","-4.20136261E+00"
"15912","-4.19981384E+00"
"16061","-4.20140457E+00"
