"time in ms","power in W"
"1163","+3.13642289E-04"
"1284","+3.13669792E-04"
"1403","+3.13650962E-04"
"1535","+3.13648634E-04"
"1663","+3.13657918E-04"
"1793","+3.13662691E-04"
"1923","+3.13655153E-04"
"2163","+3.13639932E-04"
"2293","+3.13670113E-04"
"2423","+3.13639757E-04"
"2553","+3.13654193E-04"
"2683","+3.13643919E-04"
"2813","+3.13634577E-04"
"2943","+3.13637196E-04"
"3183","+3.13666271E-04"
"3314","+3.13635916E-04"
"3443","+3.13634489E-04"
"3574","+3.13635392E-04"
"3703","+3.13642144E-04"
"3833","+3.13660421E-04"
"3963","+3.13651428E-04"
"4193","+3.13660421E-04"
"4313","+3.13635974E-04"
"4453","+3.13666475E-04"
"4583","+3.13646073E-04"
"4713","+3.13641562E-04"
"4843","+3.13656055E-04"
"4973","+3.13648488E-04"
"5203","+3.13646626E-04"
"5334","+3.13661061E-04"
"5463","+3.13655823E-04"
"5594","+3.13640077E-04"
"5723","+3.13659722E-04"
"5854","+3.13629949E-04"
"5983","+3.13663681E-04"
"6133","+3.13665776E-04"
"6243","+3.13661003E-04"
"6376","+3.13638535E-04"
"6504","+3.13658151E-04"
"6643","+3.13644472E-04"
"6773","+3.13658442E-04"
"6903","+3.13642900E-04"
"7034","+3.13643657E-04"
"7163","+3.13662196E-04"
"7293","+3.13661818E-04"
"7425","+3.13655328E-04"
"7563","+3.13667202E-04"
"7695","+3.13661993E-04"
"7823","+3.13669996E-04"
"7953","+3.13657045E-04"
"8193","+3.13683180E-04"
"8323","+3.13660858E-04"
"8464","+3.13682627E-04"
"8593","+3.13657074E-04"
"8725","+3.13634548E-04"
"8865","+3.13646917E-04"
"8993","+3.13670287E-04"
"9233","+3.13690194E-04"
"9363","+3.13664554E-04"
"9493","+3.13672586E-04"
"9624","+3.13665514E-04"
"9765","+3.13668716E-04"
"9895","+3.13699711E-04"
"10034","+3.13654600E-04"
"10164","+3.13658151E-04"
"10304","+3.13696073E-04"
"10443","+3.13693978E-04"
"10573","+3.13684082E-04"
"10713","+3.13685712E-04"
"10844","+3.13675147E-04"
"10984","+3.13674944E-04"
"11213","+3.13698460E-04"
"11343","+3.13673954E-04"
"11483","+3.13684955E-04"
"11613","+3.13693366E-04"
"11745","+3.13700497E-04"
"11873","+3.13705008E-04"
"12006","+3.13702505E-04"
"12235","+3.13683966E-04"
"12375","+3.13696335E-04"
"12503","+3.13695200E-04"
"12633","+3.13706114E-04"
"12763","+3.13695433E-04"
"12893","+3.13698314E-04"
"13033","+3.13686905E-04"
"13165","+3.13703611E-04"
"13294","+3.13715514E-04"
"13433","+3.13704542E-04"
"13563","+3.13717057E-04"
"13693","+3.13681900E-04"
"13824","+3.13745462E-04"
"13963","+3.13698460E-04"
"14193","+3.13667435E-04"
"14323","+3.13673692E-04"
"14453","+3.13714001E-04"
"14583","+3.13680270E-04"
"14723","+3.13704135E-04"
"14853","+3.13696044E-04"
"14983","+3.13736848E-04"
"15214","+3.13724566E-04"
"15352","+3.13687517E-04"
"15485","+3.13708559E-04"
"15613","+3.13702883E-04"
"15743","+3.13733501E-04"
"15882","+3.13718308E-04"
"16015","+3.13747849E-04"
"16153","+3.13728291E-04"
"16274","+3.13741068E-04"
"16404","+3.13721044E-04"
"16544","+3.13749770E-04"
"16673","+3.13709548E-04"
"16804","+3.13716067E-04"
"16938","+3.13721976E-04"
"17073","+3.13789147E-04"
"17203","+3.13729543E-04"
"17343","+3.13704513E-04"
"17473","+3.13697499E-04"
"17607","+3.13713652E-04"
"17744","+3.13725963E-04"
"17885","+3.13721393E-04"
"18013","+3.13748722E-04"
"18247","+3.13741533E-04"
"18383","+3.13770230E-04"
"18523","+3.13743454E-04"
"18654","+3.13730852E-04"
"18794","+3.13728437E-04"
"18926","+3.13731405E-04"
"19065","+3.13729572E-04"
"19193","+3.13726370E-04"
"19324","+3.13768309E-04"
"19463","+3.13776254E-04"
"19593","+3.13731929E-04"
"19733","+3.13718512E-04"
"19863","+3.13712284E-04"
"19995","+3.13727942E-04"
"20233","+3.13724537E-04"
"20373","+3.13727971E-04"
"20506","+3.13695549E-04"
"20635","+3.13731405E-04"
"20774","+3.13743803E-04"
"20903","+3.13736848E-04"
"21037","+3.13737983E-04"
"21273","+3.13741795E-04"
"21413","+3.13741999E-04"
"21542","+3.13726603E-04"
"21673","+3.13734927E-04"
"21805","+3.13723722E-04"
"21943","+3.13737866E-04"
"22073","+3.13728058E-04"
"22203","+3.13737604E-04"
"22334","+3.13738448E-04"
"22473","+3.13747412E-04"
"22604","+3.13740078E-04"
"22746","+3.13741650E-04"
"22873","+3.13763681E-04"
"23013","+3.13731289E-04"
"23253","+3.13740573E-04"
"23386","+3.13731260E-04"
"23513","+3.13731172E-04"
"23653","+3.13712662E-04"
"23783","+3.13725293E-04"
"23913","+3.13715340E-04"
"24053","+3.13751283E-04"
"24284","+3.13730037E-04"
"24415","+3.13728116E-04"
"24556","+3.13736615E-04"
"24683","+3.13749129E-04"
"24814","+3.13740515E-04"
"24953","+3.13730678E-04"
"25083","+3.13738507E-04"
"25216","+3.13739700E-04"
"25353","+3.13740777E-04"
"25486","+3.13767843E-04"
"25623","+3.13769910E-04"
"25763","+3.13753990E-04"
"25893","+3.13786586E-04"
"26025","+3.13738565E-04"
