"time in ms","power in W"
"153","+3.70654088E-05"
"270","+3.71272181E-05"
"415","+3.73830044E-05"
"557","+3.73634284E-05"
"696","+3.70605594E-05"
"838","+3.71710412E-05"
"980","+3.73313560E-05"
"1124","+3.70631133E-05"
"1270","+3.73558978E-05"
"1411","+3.70628004E-05"
"1594","+3.73796065E-05"
"1691","+3.73734656E-05"
"1831","+3.71016249E-05"
"1973","+3.71704518E-05"
"2115","+3.70700836E-05"
"2254","+3.71839487E-05"
"2394","+3.73415387E-05"
"2534","+3.70640955E-05"
"2676","+3.72841314E-05"
"2821","+3.73267394E-05"
"2967","+3.71804708E-05"
"3125","+3.73764888E-05"
"3256","+3.73399380E-05"
"3398","+3.70935704E-05"
"3542","+3.73525727E-05"
"3684","+3.73561707E-05"
"3828","+3.70708403E-05"
"3973","+3.72842042E-05"
"4223","+3.73465191E-05"
"4369","+3.73339644E-05"
"4514","+3.72719769E-05"
"4661","+3.73363036E-05"
"4807","+3.70426205E-05"
"4953","+3.72484465E-05"
"5198","+3.71313690E-05"
"5337","+3.72116483E-05"
"5481","+3.73370167E-05"
"5625","+3.71713249E-05"
"5773","+3.71109381E-05"
"5920","+3.72538452E-05"
"6171","+3.70493908E-05"
"6316","+3.73510811E-05"
"6462","+3.72883260E-05"
"6608","+3.71106507E-05"
"6753","+3.72807481E-05"
"6901","+3.72823888E-05"
"7047","+3.70807975E-05"
"7192","+3.71421847E-05"
"7337","+3.71374335E-05"
"7482","+3.70254638E-05"
"7630","+3.72262839E-05"
"7777","+3.71293390E-05"
"7925","+3.72465111E-05"
"8069","+3.71123897E-05"
"8215","+3.70843482E-05"
"8365","+3.71779061E-05"
"8509","+3.73535477E-05"
"8658","+3.70738708E-05"
"8808","+3.73581170E-05"
"8959","+3.72084105E-05"
"9109","+3.70240705E-05"
"9256","+3.72749710E-05"
"9403","+3.72378345E-05"
"9557","+3.71209535E-05"
"9708","+3.73371404E-05"
"9854","+3.70449925E-05"
"9998","+3.70627058E-05"
"10145","+3.70268754E-05"
"10289","+3.70722555E-05"
"10435","+3.72970826E-05"
"10593","+3.70198832E-05"
"10735","+3.71692367E-05"
"10879","+3.72550130E-05"
"11030","+3.72781833E-05"
"11176","+3.71082569E-05"
"11322","+3.72900504E-05"
"11471","+3.72646828E-05"
"11611","+3.70718153E-05"
"11755","+3.73274816E-05"
"11901","+3.71425631E-05"
"12044","+3.72923641E-05"
"12186","+3.72201393E-05"
"12330","+3.70302405E-05"
"12475","+3.70192247E-05"
"12624","+3.70662819E-05"
"12763","+3.73576258E-05"
"12914","+3.72508548E-05"
"13062","+3.72074755E-05"
"13211","+3.71736278E-05"
"13354","+3.73066687E-05"
"13499","+3.71608512E-05"
"13642","+3.70553462E-05"
"13792","+3.71914539E-05"
"13932","+3.72944851E-05"
"14078","+3.71193491E-05"
"14224","+3.73481198E-05"
"14369","+3.73044095E-05"
"14516","+3.73234179E-05"
"14664","+3.70457346E-05"
"14808","+3.71793030E-05"
"14956","+3.70604903E-05"
"15103","+3.72764007E-05"
"15252","+3.70894704E-05"
"15396","+3.72996619E-05"
"15541","+3.70167581E-05"
"15687","+3.70934686E-05"
"15839","+3.71778624E-05"
"15991","+3.73248076E-05"
"16138","+3.71967217E-05"
"16281","+3.71063761E-05"
"16429","+3.71376955E-05"
"16582","+3.73548937E-05"
"16729","+3.72538780E-05"
"16878","+3.73295152E-05"
"17031","+3.71328097E-05"
"17181","+3.73100156E-05"
"17328","+3.73022231E-05"
"17474","+3.72916074E-05"
"17623","+3.72322793E-05"
"17765","+3.71667920E-05"
"17913","+3.73708062E-05"
"18062","+3.73147777E-05"
"18208","+3.72029062E-05"
"18361","+3.73305993E-05"
"18509","+3.71945098E-05"
"18656","+3.71107453E-05"
"18807","+3.70415110E-05"
"18957","+3.73027178E-05"
"19104","+3.72249197E-05"
"19250","+3.72141512E-05"
"19398","+3.73557195E-05"
"19550","+3.72031391E-05"
"19696","+3.73465045E-05"
"19844","+3.71158421E-05"
"19991","+3.70781163E-05"
"20137","+3.71346141E-05"
"20286","+3.70211092E-05"
"20435","+3.70745838E-05"
"20582","+3.71247261E-05"
"20727","+3.70054513E-05"
"20872","+3.70323323E-05"
"21022","+3.73025759E-05"
"21164","+3.72401228E-05"
"21310","+3.71022761E-05"
"21459","+3.71082497E-05"
"21601","+3.73263028E-05"
"21750","+3.70952621E-05"
"21894","+3.73019066E-05"
"22042","+3.72283466E-05"
"22191","+3.72362047E-05"
"22339","+3.71623537E-05"
"22486","+3.72867180E-05"
"22631","+3.72903305E-05"
"22779","+3.73144794E-05"
"22940","+3.70118069E-05"
"23090","+3.72868744E-05"
"23242","+3.71085298E-05"
"23392","+3.72854447E-05"
"23634","+3.70053895E-05"
"23784","+3.71540773E-05"
"23937","+3.70312227E-05"
"24088","+3.72925169E-05"
"24239","+3.73164330E-05"
"24388","+3.70310772E-05"
"24536","+3.70688031E-05"
"24682","+3.70078124E-05"
"24828","+3.73004441E-05"
"24978","+3.73122384E-05"
"25129","+3.72151626E-05"
"25278","+3.71770075E-05"
"25430","+3.70305061E-05"
"25580","+3.73047478E-05"
"25727","+3.71784809E-05"
"25879","+3.73143703E-05"
"26024","+3.72042159E-05"
"26171","+3.71965216E-05"
"26319","+3.71884889E-05"
"26471","+3.70073758E-05"
"26623","+3.70009802E-05"
"26770","+3.69550835E-05"
"26922","+3.70007947E-05"
"27068","+3.70337002E-05"
"27218","+3.71342139E-05"
"27366","+3.72850191E-05"
"27513","+3.70313282E-05"
"27661","+3.71734095E-05"
"27809","+3.71940041E-05"
"27961","+3.70540292E-05"
"28114","+3.70320195E-05"
"28263","+3.71023161E-05"
"28412","+3.69865447E-05"
"28564","+3.73323019E-05"
"28718","+3.72425638E-05"
"28864","+3.72989707E-05"
"29018","+3.70555354E-05"
"29167","+3.72332397E-05"
"29319","+3.73202165E-05"
"29473","+3.70263515E-05"
"29618","+3.71791939E-05"
"29763","+3.72615832E-05"
"29907","+3.71071874E-05"
"30057","+3.72760042E-05"
"30208","+3.72986360E-05"
"30358","+3.70443304E-05"
"30509","+3.73111143E-05"
"30660","+3.73045295E-05"
"30805","+3.70608759E-05"
"30953","+3.72914365E-05"
"31102","+3.72841387E-05"
"31253","+3.70512498E-05"
"31407","+3.71415954E-05"
"31558","+3.70670459E-05"
"31702","+3.70887210E-05"
"31856","+3.73210496E-05"
"32010","+3.70515154E-05"
"32161","+3.71978858E-05"
"32309","+3.73022667E-05"
"32457","+3.73457515E-05"
"32614","+3.73299990E-05"
"32760","+3.70054913E-05"
"33013","+3.70517919E-05"
"33161","+3.72799950E-05"
"33315","+3.71484130E-05"
"33463","+3.72845934E-05"
"33614","+3.70714442E-05"
"33762","+3.71885508E-05"
"34012","+3.71613605E-05"
"34163","+3.71211609E-05"
"34311","+3.70222879E-05"
"34460","+3.70459202E-05"
"34612","+3.73645453E-05"
"34764","+3.70331654E-05"
"35018","+3.71939714E-05"
"35168","+3.70368361E-05"
"35322","+3.72984759E-05"
"35474","+3.71133065E-05"
"35631","+3.70436719E-05"
"35779","+3.72539289E-05"
"36037","+3.71670285E-05"
"36193","+3.70254238E-05"
"36348","+3.73471230E-05"
"36495","+3.72622671E-05"
"36645","+3.73217881E-05"
"36791","+3.71423193E-05"
"37041","+3.70914604E-05"
"37191","+3.73283765E-05"
"37346","+3.72987670E-05"
"37500","+3.72725699E-05"
"37652","+3.73438452E-05"
"37803","+3.70378475E-05"
"38058","+3.71598944E-05"
"38210","+3.73375842E-05"
"38363","+3.73416333E-05"
"38512","+3.72159848E-05"
"38661","+3.73421863E-05"
"38815","+3.70342786E-05"
"39069","+3.70038979E-05"
"39225","+3.73411240E-05"
"39380","+3.70748858E-05"
"39533","+3.69971822E-05"
"39684","+3.73074290E-05"
"39836","+3.73509356E-05"
"40083","+3.72970280E-05"
"40236","+3.70270354E-05"
"40387","+3.70519629E-05"
"40540","+3.70939342E-05"
"40695","+3.72958966E-05"
"40845","+3.70805246E-05"
"41000","+3.73163166E-05"
"41146","+3.70387461E-05"
"41295","+3.73545881E-05"
"41446","+3.73172697E-05"
"41598","+3.71679198E-05"
"41746","+3.70354901E-05"
"41898","+3.71055212E-05"
"42052","+3.70634043E-05"
"42205","+3.70426860E-05"
"42361","+3.70759299E-05"
"42515","+3.70773596E-05"
"42669","+3.73097246E-05"
"42822","+3.70183006E-05"
"43079","+3.71365932E-05"
"43232","+3.73408657E-05"
"43381","+3.71373935E-05"
"43530","+3.70548551E-05"
"43681","+3.70254929E-05"
"43834","+3.71684619E-05"
"44091","+3.69875597E-05"
"44247","+3.70975904E-05"
"44404","+3.73044531E-05"
"44562","+3.70425987E-05"
"44717","+3.71836431E-05"
"44870","+3.73201474E-05"
"45028","+3.70302805E-05"
"45179","+3.72793511E-05"
"45331","+3.71309434E-05"
"45484","+3.72982358E-05"
"45638","+3.72115283E-05"
"45790","+3.72944014E-05"
"45946","+3.70095477E-05"
"46097","+3.70018279E-05"
"46254","+3.70684102E-05"
"46405","+3.73700022E-05"
"46575","+3.71603492E-05"
