"time in ms","power in W"
"245","+1.81000141E-05"
"369","+1.81076412E-05"
"510","+1.82504627E-05"
"650","+1.82399453E-05"
"793","+1.81083742E-05"
"938","+1.82351669E-05"
"1181","+1.81033702E-05"
"1330","+1.81086343E-05"
"1468","+1.81037794E-05"
"1607","+1.81096257E-05"
"1746","+1.82402455E-05"
"1890","+1.82083495E-05"
"2033","+1.81783071E-05"
"2171","+1.82599324E-05"
"2308","+1.80972329E-05"
"2446","+1.82279746E-05"
"2586","+1.81019477E-05"
"2732","+1.82512904E-05"
"2871","+1.82356398E-05"
"3016","+1.82237345E-05"
"3162","+1.82395015E-05"
"3303","+1.82331660E-05"
"3448","+1.82804106E-05"
"3596","+1.81345968E-05"
"3743","+1.82420063E-05"
"3888","+1.80868392E-05"
"4029","+1.81967971E-05"
"4170","+1.81463347E-05"
"4315","+1.81030300E-05"
"4460","+1.81147825E-05"
"4605","+1.82570602E-05"
"4750","+1.81831929E-05"
"4891","+1.81020423E-05"
"5040","+1.80962452E-05"
"5180","+1.81345567E-05"
"5337","+1.81092910E-05"
"5481","+1.82593922E-05"
"5628","+1.81594878E-05"
"5770","+1.82489403E-05"
"5917","+1.82183812E-05"
"6061","+1.81971736E-05"
"6208","+1.82465428E-05"
"6344","+1.82681688E-05"
"6487","+1.81310334E-05"
"6631","+1.81248888E-05"
"6775","+1.82315653E-05"
"6917","+1.81384021E-05"
"7056","+1.82352851E-05"
"7191","+1.82616732E-05"
"7342","+1.82513359E-05"
"7486","+1.81489031E-05"
"7631","+1.82495896E-05"
"7780","+1.82603071E-05"
"7925","+1.82006497E-05"
"8071","+1.81900850E-05"
"8212","+1.81908435E-05"
"8357","+1.82511267E-05"
"8504","+1.81602518E-05"
"8649","+1.82631393E-05"
"8790","+1.81773212E-05"
"8933","+1.81754403E-05"
"9079","+1.82602544E-05"
"9221","+1.81901050E-05"
"9363","+1.82309523E-05"
"9511","+1.81859268E-05"
"9659","+1.81748474E-05"
"9805","+1.82395470E-05"
"9950","+1.81191426E-05"
"10094","+1.81392243E-05"
"10234","+1.81787818E-05"
"10379","+1.82623080E-05"
"10527","+1.81845407E-05"
"10671","+1.81253727E-05"
"10814","+1.81169289E-05"
"10957","+1.82367130E-05"
"11104","+1.82237109E-05"
"11242","+1.82533859E-05"
"11385","+1.82424283E-05"
"11527","+1.82123895E-05"
"11672","+1.82627791E-05"
"11817","+1.81795858E-05"
"11957","+1.81386549E-05"
"12103","+1.82502663E-05"
"12244","+1.82316326E-05"
"12389","+1.82434669E-05"
"12534","+1.81127962E-05"
"12676","+1.81744235E-05"
"12824","+1.82242056E-05"
"12969","+1.81390533E-05"
"13116","+1.81263749E-05"
"13257","+1.82126405E-05"
"13397","+1.81170399E-05"
"13537","+1.82644453E-05"
"13686","+1.81191244E-05"
"13832","+1.82220429E-05"
"13977","+1.81070282E-05"
"14120","+1.81071118E-05"
"14262","+1.82677213E-05"
"14405","+1.82722270E-05"
"14551","+1.82144795E-05"
"14696","+1.82020358E-05"
"14836","+1.81637279E-05"
"14978","+1.81053438E-05"
"15123","+1.81254072E-05"
"15262","+1.81479390E-05"
"15403","+1.81921878E-05"
"15549","+1.81312607E-05"
"15700","+1.81194209E-05"
"15844","+1.81967607E-05"
"15989","+1.81329124E-05"
"16134","+1.81208743E-05"
"16276","+1.81607065E-05"
"16422","+1.81057294E-05"
"16567","+1.81842443E-05"
"16711","+1.82461408E-05"
"16858","+1.81504911E-05"
"17004","+1.82253698E-05"
"17144","+1.81663399E-05"
"17291","+1.82281765E-05"
"17439","+1.82063013E-05"
"17585","+1.81618489E-05"
"17733","+1.82474250E-05"
"17878","+1.82237036E-05"
"18024","+1.82573149E-05"
"18172","+1.82331387E-05"
"18319","+1.81089963E-05"
"18465","+1.82488839E-05"
"18611","+1.82547337E-05"
"18760","+1.81116793E-05"
"18910","+1.82583462E-05"
"19063","+1.81690102E-05"
"19210","+1.82095591E-05"
"19358","+1.82402910E-05"
"19514","+1.81904252E-05"
"19659","+1.82330732E-05"
"19800","+1.81301803E-05"
"19942","+1.82458425E-05"
"20089","+1.81824944E-05"
"20235","+1.81212108E-05"
"20376","+1.81459509E-05"
"20523","+1.81191590E-05"
"20669","+1.81498781E-05"
"20812","+1.81748401E-05"
"20956","+1.82006679E-05"
"21121","+1.81105606E-05"
"21238","+1.81753403E-05"
"21379","+1.82234853E-05"
"21523","+1.82295062E-05"
"21665","+1.82274853E-05"
"21811","+1.81843061E-05"
"21957","+1.81078831E-05"
"22104","+1.82749009E-05"
"22252","+1.81699725E-05"
"22401","+1.81759606E-05"
"22547","+1.81080541E-05"
"22695","+1.81307023E-05"
"22838","+1.81171345E-05"
"22987","+1.81745872E-05"
"23135","+1.82619624E-05"
"23279","+1.81127634E-05"
"23420","+1.82463136E-05"
"23567","+1.81135310E-05"
"23712","+1.82425738E-05"
"23858","+1.81190862E-05"
"24003","+1.81592150E-05"
"24150","+1.82525382E-05"
"24298","+1.81040577E-05"
"24441","+1.82431704E-05"
"24591","+1.81205105E-05"
"24739","+1.82422536E-05"
"24890","+1.81550749E-05"
"25038","+1.82435597E-05"
"25187","+1.81379583E-05"
"25334","+1.82206168E-05"
"25477","+1.82499862E-05"
"25623","+1.81415944E-05"
"25769","+1.81077303E-05"
"25916","+1.81284158E-05"
"26061","+1.82133917E-05"
"26210","+1.81042506E-05"
"26357","+1.81892592E-05"
"26501","+1.81385767E-05"
