"time in ms","power in W"
"1184","+3.90078902E-04"
"1304","+3.90381640E-04"
"1434","+3.90093832E-04"
"1564","+3.90145375E-04"
"1697","+3.90385743E-04"
"1824","+3.90407746E-04"
"1955","+3.90439556E-04"
"2194","+3.90431698E-04"
"2325","+3.90502857E-04"
"2454","+3.90443864E-04"
"2584","+3.90362489E-04"
"2724","+3.90622037E-04"
"2855","+3.90660280E-04"
"2994","+3.90647037E-04"
"3126","+3.90624249E-04"
"3255","+3.90629459E-04"
"3385","+3.90536065E-04"
"3516","+3.90436733E-04"
"3655","+3.90663336E-04"
"3784","+3.90477071E-04"
"3915","+3.90473258E-04"
"4144","+3.90623522E-04"
"4275","+3.90642032E-04"
"4404","+3.90527799E-04"
"4544","+3.90650122E-04"
"4674","+3.90600006E-04"
"4816","+3.90296045E-04"
"4944","+3.90674482E-04"
"5175","+3.90616508E-04"
"5314","+3.90325615E-04"
"5445","+3.90574656E-04"
"5576","+3.90537665E-04"
"5715","+3.90333036E-04"
"5845","+3.90527799E-04"
"5987","+3.90208850E-04"
"6215","+3.90253670E-04"
"6356","+3.90342349E-04"
"6484","+3.90233356E-04"
"6615","+3.90325673E-04"
"6754","+3.90262023E-04"
"6886","+3.90234491E-04"
"7024","+3.90582165E-04"
"7155","+3.90278263E-04"
"7286","+3.90241679E-04"
"7425","+3.90574132E-04"
"7564","+3.90468136E-04"
"7695","+3.90643894E-04"
"7824","+3.90663219E-04"
"7965","+3.90641944E-04"
"8196","+3.90729227E-04"
"8335","+3.90439964E-04"
"8474","+3.90787493E-04"
"8604","+3.90611502E-04"
"8744","+3.90758767E-04"
"8878","+3.90827598E-04"
"9016","+3.90725094E-04"
"9155","+3.90616187E-04"
"9287","+3.90610629E-04"
"9425","+3.90937901E-04"
"9559","+3.90800327E-04"
"9696","+3.91059526E-04"
"9834","+3.90732544E-04"
"9972","+3.91103764E-04"
"10210","+3.90938803E-04"
"10347","+3.91212467E-04"
"10485","+3.91028792E-04"
"10625","+3.91251640E-04"
"10764","+3.91319423E-04"
"10896","+3.91484471E-04"
"11035","+3.91243637E-04"
"11168","+3.91535781E-04"
"11304","+3.91358626E-04"
"11445","+3.91646929E-04"
"11574","+3.91497422E-04"
"11716","+3.91730748E-04"
"11844","+3.91768932E-04"
"11987","+3.91552807E-04"
"12214","+3.91822832E-04"
"12355","+3.91707697E-04"
"12485","+3.91678186E-04"
"12628","+3.91749636E-04"
"12755","+3.91673180E-04"
"12894","+3.91892681E-04"
"13025","+3.91655165E-04"
"13164","+3.91771930E-04"
"13294","+3.91787122E-04"
"13430","+3.91626032E-04"
"13565","+3.91732377E-04"
"13705","+3.91571375E-04"
"13837","+3.91690701E-04"
"13974","+3.91580950E-04"
"14209","+3.91587993E-04"
"14345","+3.91838897E-04"
"14478","+3.91688256E-04"
"14614","+3.91839130E-04"
"14754","+3.91670183E-04"
"14887","+3.91827518E-04"
"15024","+3.91827460E-04"
"15165","+3.92001210E-04"
"15295","+3.92007583E-04"
"15438","+3.91876005E-04"
"15566","+3.91961978E-04"
"15705","+3.91729001E-04"
"15839","+3.91904352E-04"
"15977","+3.91782989E-04"
"16214","+3.92221467E-04"
"16355","+3.91923531E-04"
"16488","+3.92167567E-04"
"16625","+3.92023474E-04"
"16764","+3.92203947E-04"
"16905","+3.91820940E-04"
"17037","+3.92071961E-04"
"17175","+3.91814334E-04"
"17314","+3.91965295E-04"
"17447","+3.91938142E-04"
"17584","+3.91910755E-04"
"17727","+3.91564536E-04"
"17856","+3.91593028E-04"
"17995","+3.91652342E-04"
"18234","+3.91774985E-04"
"18377","+3.91567039E-04"
"18507","+3.91465757E-04"
"18644","+3.91663634E-04"
"18784","+3.91619920E-04"
"18916","+3.91574489E-04"
"19054","+3.91390640E-04"
"19188","+3.91581911E-04"
"19325","+3.91372945E-04"
"19465","+3.91612673E-04"
"19604","+3.91363836E-04"
"19741","+3.91520211E-04"
"19879","+3.91286158E-04"
"20016","+3.91524489E-04"
"20164","+3.91497859E-04"
"20295","+3.91323731E-04"
"20434","+3.91477894E-04"
"20565","+3.91499605E-04"
"20704","+3.91377805E-04"
"20844","+3.91344540E-04"
"20975","+3.91278794E-04"
"21214","+3.91541922E-04"
"21354","+3.91471956E-04"
"21484","+3.91574606E-04"
"21624","+3.91416426E-04"
"21756","+3.91511217E-04"
"21894","+3.91500740E-04"
"22035","+3.91695212E-04"
"22167","+3.91650858E-04"
"22306","+3.91553534E-04"
"22444","+3.91560665E-04"
"22578","+3.91429436E-04"
"22717","+3.91707930E-04"
"22855","+3.91774083E-04"
"22987","+3.91743728E-04"
"23225","+3.91500507E-04"
"23357","+3.91800218E-04"
"23494","+3.91575362E-04"
"23634","+3.91848822E-04"
"23767","+3.91899899E-04"
"23904","+3.91853711E-04"
"24045","+3.91795649E-04"
"24174","+3.91729496E-04"
"24314","+3.91994923E-04"
"24448","+3.91750829E-04"
"24585","+3.92046320E-04"
"24725","+3.91870039E-04"
"24864","+3.92046495E-04"
"25000","+3.91934591E-04"
"25240","+3.92189046E-04"
"25378","+3.91969574E-04"
"25515","+3.92230140E-04"
"25654","+3.92279209E-04"
"25788","+3.92334594E-04"
"25925","+3.92029906E-04"
"26064","+3.92175396E-04"
"26201","+3.92083864E-04"
"26342","+3.92355985E-04"
"26484","+3.92367976E-04"
"26625","+3.92004062E-04"
"26758","+3.92284157E-04"
