"time in ms","power in W"
"139","+8.31629131E-06"
"260","+8.31093075E-06"
"390","+8.33278409E-06"
"521","+8.32211572E-06"
"652","+8.33504055E-06"
"779","+8.29960754E-06"
"909","+8.32400929E-06"
"1150","+8.30319004E-06"
"1282","+8.31929174E-06"
"1420","+8.30162026E-06"
"1550","+8.33194645E-06"
"1679","+8.29981946E-06"
"1820","+8.30384306E-06"
"1950","+8.30124100E-06"
"2179","+8.31558555E-06"
"2321","+8.31899251E-06"
"2450","+8.32826481E-06"
"2580","+8.33296053E-06"
"2720","+8.31940997E-06"
"2852","+8.32626483E-06"
"2979","+8.31146644E-06"
"3121","+8.32887235E-06"
"3250","+8.30959198E-06"
"3392","+8.29425153E-06"
"3519","+8.29062628E-06"
"3660","+8.29922010E-06"
"3792","+8.29250894E-06"
"3930","+8.30236240E-06"
"4162","+8.32907335E-06"
"4300","+8.29660894E-06"
"4432","+8.31656780E-06"
"4570","+8.30523004E-06"
"4701","+8.33026843E-06"
"4840","+8.31591660E-06"
"4980","+8.30997669E-06"
"5210","+8.31814305E-06"
"5349","+8.29481905E-06"
"5480","+8.31480975E-06"
"5609","+8.30387307E-06"
"5750","+8.32229580E-06"
"5882","+8.30637782E-06"
"6021","+8.31430316E-06"
"6150","+8.31149555E-06"
"6290","+8.30829231E-06"
"6423","+8.31080342E-06"
"6560","+8.31467241E-06"
"6700","+8.31540910E-06"
"6834","+8.31394209E-06"
"6971","+8.29154396E-06"
"7210","+8.30173667E-06"
"7344","+8.29877263E-06"
"7480","+8.31311445E-06"
"7619","+8.29790679E-06"
"7750","+8.29421151E-06"
"7890","+8.28246812E-06"
"8020","+8.29109104E-06"
"8159","+8.29516284E-06"
"8296","+8.32759997E-06"
"8437","+8.31629404E-06"
"8571","+8.28498378E-06"
"8710","+8.28320844E-06"
"8851","+8.31723810E-06"
"8989","+8.28177235E-06"
"9230","+8.31381294E-06"
"9366","+8.29124838E-06"
"9504","+8.32929800E-06"
"9643","+8.28026077E-06"
"9782","+8.31175566E-06"
"9920","+8.31306988E-06"
"10061","+8.31218222E-06"
"10192","+8.28080829E-06"
"10329","+8.32377373E-06"
"10462","+8.32625483E-06"
"10600","+8.32442947E-06"
"10740","+8.28054272E-06"
"10870","+8.32157912E-06"
"11002","+8.28576594E-06"
"11240","+8.31767829E-06"
"11379","+8.28000793E-06"
"11510","+8.33047125E-06"
"11649","+8.31952184E-06"
"11790","+8.28137581E-06"
"11922","+8.27835538E-06"
"12060","+8.28359225E-06"
"12193","+8.32279147E-06"
"12330","+8.29221881E-06"
"12470","+8.30463250E-06"
"12603","+8.28536849E-06"
"12739","+8.29699002E-06"
"12880","+8.30645604E-06"
"13013","+8.28290104E-06"
"13160","+8.29411510E-06"
"13284","+8.30634053E-06"
"13421","+8.29502460E-06"
"13559","+8.29702549E-06"
"13693","+8.29409510E-06"
"13829","+8.30914450E-06"
"13970","+8.29429428E-06"
"14210","+8.31737998E-06"
"14343","+8.31033776E-06"
"14479","+8.30236695E-06"
"14620","+8.30063072E-06"
"14749","+8.30681074E-06"
"14890","+8.28876091E-06"
"15020","+8.28196698E-06"
"15260","+8.28826524E-06"
"15399","+8.31514171E-06"
"15531","+8.28485190E-06"
"15670","+8.32106980E-06"
"15810","+8.28658722E-06"
"15949","+8.31032412E-06"
"16084","+8.31865782E-06"
"16219","+8.29903456E-06"
"16360","+8.31749367E-06"
"16492","+8.30255249E-06"
"16631","+8.28874181E-06"
"16769","+8.29543114E-06"
"16910","+8.31316720E-06"
"17047","+8.31110901E-06"
"17290","+8.29273813E-06"
"17425","+8.28479915E-06"
"17563","+8.31405850E-06"
"17699","+8.31213492E-06"
"17840","+8.29342662E-06"
"17976","+8.28844713E-06"
"18114","+8.30236058E-06"
"18252","+8.31093075E-06"
"18390","+8.29399505E-06"
"18530","+8.31090711E-06"
"18669","+8.31122634E-06"
"18809","+8.31041325E-06"
"18943","+8.29274904E-06"
"19080","+8.30955196E-06"
"19320","+8.29477631E-06"
"19454","+8.29594228E-06"
"19589","+8.28665361E-06"
"19729","+8.28796237E-06"
"19860","+8.31054786E-06"
"20000","+8.31217676E-06"
"20140","+8.30655608E-06"
"20271","+8.31139096E-06"
"20410","+8.29781129E-06"
"20542","+8.29223427E-06"
"20680","+8.29366036E-06"
"20814","+8.30846602E-06"
"20951","+8.28651628E-06"
"21089","+8.28694465E-06"
"21330","+8.29510100E-06"
"21469","+8.31328998E-06"
"21603","+8.29691817E-06"
"21742","+8.30523095E-06"
"21881","+8.31173747E-06"
"22019","+8.30543649E-06"
"22151","+8.28838802E-06"
"22290","+8.28977591E-06"
"22429","+8.28749671E-06"
"22564","+8.28364591E-06"
"22700","+8.28460725E-06"
"22839","+8.29240889E-06"
"22975","+8.28350585E-06"
"23113","+8.29296459E-06"
"23350","+8.31115722E-06"
"23489","+8.29177952E-06"
"23630","+8.31798934E-06"
"23760","+8.30021509E-06"
"23900","+8.29059081E-06"
"24039","+8.29526653E-06"
"24171","+8.28445172E-06"
"24310","+8.29260807E-06"
"24450","+8.28462726E-06"
"24584","+8.28850352E-06"
"24723","+8.29044711E-06"
"24863","+8.29260989E-06"
"25000","+8.30632416E-06"
"25140","+8.28722204E-06"
"25273","+8.28533848E-06"
"25413","+8.30543831E-06"
"25552","+8.28513566E-06"
"25691","+8.29698365E-06"
"25832","+8.29776945E-06"
"25971","+8.29692544E-06"
"26110","+8.28363500E-06"
"26349","+8.28631801E-06"
"26490","+8.29165674E-06"
"26629","+8.29234250E-06"
"26766","+8.28621523E-06"
"26909","+8.29407236E-06"
"27045","+8.29695182E-06"
"27185","+8.28537395E-06"
"27322","+8.29055080E-06"
"27461","+8.28655902E-06"
"27601","+8.30345834E-06"
"27740","+8.30082990E-06"
"27880","+8.30766112E-06"
"28019","+8.30168119E-06"
"28160","+8.30915815E-06"
"28295","+8.28835164E-06"
"28435","+8.28869361E-06"
"28576","+8.30439421E-06"
"28715","+8.30321278E-06"
"28852","+8.28576049E-06"
