"time in ms","power in W"
"149","+2.22896438E-06"
"303","+2.23584152E-06"
"468","+2.25701046E-06"
"617","+2.25860504E-06"
"757","+2.26369093E-06"
"898","+2.25996632E-06"
"1043","+2.23835741E-06"
"1187","+2.23665529E-06"
"1329","+2.27070450E-06"
"1477","+2.24825521E-06"
"1622","+2.24042151E-06"
"1762","+2.26778548E-06"
"1900","+2.25163126E-06"
"2043","+2.24697874E-06"
"2188","+2.24564496E-06"
"2331","+2.26852490E-06"
"2463","+2.26320913E-06"
"2611","+2.25965937E-06"
"2752","+2.27865712E-06"
"2892","+2.27539817E-06"
"3036","+2.28851695E-06"
"3181","+2.28726594E-06"
"3325","+2.25545750E-06"
"3473","+2.27957003E-06"
"3613","+2.28634872E-06"
"3759","+2.26273119E-06"
"3907","+2.26677957E-06"
"4064","+2.27842952E-06"
"4236","+2.28042904E-06"
"4369","+2.27174564E-06"
"4518","+2.28210433E-06"
"4661","+2.29329271E-06"
"4805","+2.28316253E-06"
"4955","+2.29835473E-06"
"5104","+2.29826628E-06"
"5249","+2.27080409E-06"
"5403","+2.27011060E-06"
"5544","+2.29199031E-06"
"5700","+2.29555985E-06"
"5842","+2.29121815E-06"
"5994","+2.28147292E-06"
"6132","+2.29698276E-06"
"6273","+2.27080363E-06"
"6420","+2.30269848E-06"
"6557","+2.30780620E-06"
"6701","+2.29220041E-06"
"6853","+2.29514035E-06"
"6993","+2.30230171E-06"
"7168","+2.30840465E-06"
"7314","+2.30241926E-06"
"7465","+2.29476746E-06"
"7613","+2.29332545E-06"
"7760","+2.32059415E-06"
"7909","+2.31685590E-06"
"8074","+2.31054582E-06"
"8346","+2.31222157E-06"
"8506","+2.30649880E-06"
"8655","+2.33161336E-06"
"8809","+2.31643457E-06"
"8954","+2.32722255E-06"
"9106","+2.32615344E-06"
"9380","+2.32045818E-06"
"9536","+2.30690239E-06"
"9689","+2.30479941E-06"
"9837","+2.29975331E-06"
"9977","+2.30759338E-06"
"10118","+2.32675507E-06"
"10357","+2.30182764E-06"
"10491","+2.32231741E-06"
"10627","+2.30167279E-06"
"10761","+2.33143464E-06"
"10903","+2.31543072E-06"
"11042","+2.34212598E-06"
"11185","+2.32460252E-06"
"11336","+2.34177037E-06"
"11490","+2.33398305E-06"
"11618","+2.32198431E-06"
"11749","+2.35050925E-06"
"11890","+2.32618186E-06"
"12034","+2.33922970E-06"
"12160","+2.32149455E-06"
"12304","+2.34696904E-06"
"12448","+2.32684533E-06"
"12594","+2.33189985E-06"
"12739","+2.32948400E-06"
"12881","+2.33046580E-06"
"13022","+2.34345362E-06"
"13173","+2.32753155E-06"
"13326","+2.37670179E-06"
"13479","+2.36504138E-06"
"13629","+2.37682639E-06"
"13780","+2.36829464E-06"
"13932","+2.37131894E-06"
"14071","+2.37215977E-06"
"14220","+2.33325068E-06"
"14369","+2.34059235E-06"
"14522","+2.34698837E-06"
"14671","+2.36543042E-06"
"14836","+2.36503570E-06"
"14982","+2.37428890E-06"
"15131","+2.36437199E-06"
"15410","+2.35678340E-06"
"15541","+2.34232721E-06"
"15692","+2.34462959E-06"
"15843","+2.35057769E-06"
"15993","+2.38282905E-06"
"16145","+2.39833184E-06"
"16407","+2.36161145E-06"
"16551","+2.37012409E-06"
"16703","+2.36326082E-06"
"16856","+2.36651431E-06"
"17009","+2.38590610E-06"
"17165","+2.37378890E-06"
"17410","+2.35394327E-06"
"17564","+2.38885195E-06"
"17718","+2.36574965E-06"
"17875","+2.37699533E-06"
"18013","+2.40212648E-06"
"18183","+2.36489063E-06"
"18379","+2.39623955E-06"
"18471","+2.40035297E-06"
"18609","+2.40262011E-06"
"18784","+2.40332497E-06"
"18967","+2.37628183E-06"
"19129","+2.38540179E-06"
"19314","+2.37750055E-06"
"19439","+2.37934410E-06"
"19571","+2.40503641E-06"
"19754","+2.38400958E-06"
"19946","+2.40263057E-06"
"20088","+2.40859799E-06"
"20237","+2.41501948E-06"
"20493","+2.40220470E-06"
"20644","+2.39708311E-06"
"20786","+2.40840950E-06"
"20940","+2.42654164E-06"
"21093","+2.42130363E-06"
"21261","+2.39109318E-06"
"21407","+2.42027681E-06"
"21542","+2.39593419E-06"
"21687","+2.40765803E-06"
"21831","+2.42793772E-06"
"21970","+2.41435578E-06"
"22115","+2.43367253E-06"
"22268","+2.40045256E-06"
"22415","+2.42224360E-06"
"22557","+2.40790268E-06"
"22699","+2.41839894E-06"
"22840","+2.41781527E-06"
"22988","+2.43034424E-06"
"23147","+2.40690497E-06"
"23291","+2.44018656E-06"
"23441","+2.43373916E-06"
"23583","+2.43932482E-06"
"23732","+2.41080556E-06"
"23876","+2.42024271E-06"
"24024","+2.42877741E-06"
"24176","+2.42708848E-06"
"24321","+2.40272880E-06"
"24470","+2.44029843E-06"
"24625","+2.43162776E-06"
"24780","+2.44000648E-06"
"24928","+2.41476710E-06"
"25080","+2.40909935E-06"
"25238","+2.41563043E-06"
"25477","+2.42771080E-06"
"25624","+2.41159455E-06"
"25769","+2.42056217E-06"
"25922","+2.45292267E-06"
"26072","+2.44509761E-06"
"26233","+2.45572301E-06"
