"time in ms","power in W"
"248","+3.30666255E-04"
"398","+3.29238770E-04"
"560","+3.30225128E-04"
"727","+3.29367205E-04"
"910","+3.29500326E-04"
"1176","+3.29820032E-04"
"1371","+3.29704810E-04"
"1532","+3.30407347E-04"
"1692","+3.30345094E-04"
"1861","+3.29293893E-04"
"2031","+3.29550880E-04"
"2196","+3.30330047E-04"
"2357","+3.30280658E-04"
"2516","+3.29464761E-04"
"2680","+3.29669507E-04"
"2840","+3.30363895E-04"
"3003","+3.29703442E-04"
"3268","+3.30626935E-04"
"3435","+3.29650094E-04"
"3596","+3.30072653E-04"
"3771","+3.29579925E-04"
"3956","+3.29555216E-04"
"4221","+3.30238458E-04"
"4392","+3.30409326E-04"
"4555","+3.29267292E-04"
"4740","+3.29157949E-04"
"4913","+3.28828697E-04"
"5081","+3.29851173E-04"
"5247","+3.29780334E-04"
"5410","+3.29698087E-04"
"5575","+3.29584756E-04"
"5753","+3.30765499E-04"
"5920","+3.28848691E-04"
"6091","+3.30160954E-04"
"6272","+3.30624171E-04"
"6432","+3.29867587E-04"
"6614","+3.29990900E-04"
"6797","+3.30234325E-04"
"6972","+3.29772185E-04"
"7137","+3.30336945E-04"
"7306","+3.30418028E-04"
"7478","+3.29068105E-04"
"7643","+3.29759816E-04"
"7825","+3.29725095E-04"
"8004","+3.30367737E-04"
"8172","+3.30570037E-04"
"8344","+3.29129252E-04"
"8516","+3.29662871E-04"
"8682","+3.29200149E-04"
"8854","+3.28868773E-04"
"9037","+3.29422386E-04"
"9222","+3.28866794E-04"
"9406","+3.29323957E-04"
"9572","+3.29414761E-04"
"9749","+3.29984236E-04"
"9917","+3.29262053E-04"
"10087","+3.28964205E-04"
"10251","+3.29177041E-04"
"10415","+3.29421455E-04"
"10584","+3.28825583E-04"
"10754","+3.28361988E-04"
"10919","+3.29089176E-04"
"11082","+3.28865455E-04"
"11243","+3.29941948E-04"
"11402","+3.29569099E-04"
"11570","+3.29618051E-04"
"11737","+3.30126146E-04"
"11913","+3.30081501E-04"
"12094","+3.29319126E-04"
"12255","+3.29015602E-04"
"12421","+3.28832801E-04"
"12578","+3.29948292E-04"
"12742","+3.28142109E-04"
"12923","+3.29079630E-04"
"13107","+3.29280796E-04"
"13271","+3.29916686E-04"
"13436","+3.28823022E-04"
"13607","+3.29588715E-04"
"13772","+3.29785049E-04"
"13964","+3.29766481E-04"
"14135","+3.28477268E-04"
"14308","+3.29711591E-04"
"14470","+3.29322938E-04"
"14642","+3.30283365E-04"
"14808","+3.29664996E-04"
"14972","+3.30004405E-04"
"15141","+3.30077746E-04"
"15312","+3.29587056E-04"
"15478","+3.29452800E-04"
"15648","+3.29025323E-04"
"15817","+3.28523893E-04"
"15983","+3.28959140E-04"
"16151","+3.30069248E-04"
"16332","+3.28390306E-04"
"16500","+3.28450260E-04"
"16668","+3.29451519E-04"
"16834","+3.29088653E-04"
"17002","+3.29064875E-04"
"17167","+3.28528404E-04"
"17340","+3.28671682E-04"
"17515","+3.29721806E-04"
"17684","+3.28858412E-04"
"17857","+3.29533621E-04"
"18026","+3.29802540E-04"
"18200","+3.29959759E-04"
"18382","+3.29224626E-04"
"18549","+3.28789523E-04"
"18723","+3.29193281E-04"
"18895","+3.29602131E-04"
"19065","+3.28641298E-04"
"19234","+3.28664697E-04"
"19400","+3.29094590E-04"
"19562","+3.29763832E-04"
"19730","+3.28466180E-04"
"19902","+3.27888702E-04"
"20060","+3.29583039E-04"
"20221","+3.28170107E-04"
"20382","+3.28565045E-04"
"20557","+3.29168572E-04"
"20721","+3.29365517E-04"
"20892","+3.29635746E-04"
"21057","+3.29773058E-04"
"21228","+3.29096743E-04"
"21394","+3.28919414E-04"
"21568","+3.28447495E-04"
"21728","+3.28350521E-04"
"21900","+3.29522038E-04"
"22065","+3.29097762E-04"
"22238","+3.28522467E-04"
"22407","+3.29044153E-04"
"22572","+3.28283524E-04"
"22737","+3.28487367E-04"
"22907","+3.28098075E-04"
"23072","+3.28921189E-04"
"23245","+3.28972295E-04"
"23411","+3.28586670E-04"
"23575","+3.28956172E-04"
"23744","+3.29186354E-04"
"23918","+3.29114933E-04"
"24084","+3.28882074E-04"
"24258","+3.29542003E-04"
"24421","+3.29269882E-04"
"24593","+3.28057067E-04"
"24760","+3.28203372E-04"
"24934","+3.29047558E-04"
"25100","+3.28449038E-04"
"25267","+3.28759226E-04"
"25436","+3.29282397E-04"
"25600","+3.29320028E-04"
"25771","+3.28590540E-04"
"25945","+3.29189410E-04"
"26115","+3.29182396E-04"
"26278","+3.28611553E-04"
"26444","+3.28304101E-04"
"26610","+3.29809438E-04"
"26778","+3.28054535E-04"
"26948","+3.27992399E-04"
"27117","+3.29687609E-04"
"27283","+3.29309027E-04"
"27448","+3.28074093E-04"
"27616","+3.29444651E-04"
"27784","+3.28403898E-04"
"27956","+3.28654773E-04"
"28126","+3.28360416E-04"
"28291","+3.29092407E-04"
"28454","+3.28982162E-04"
"28627","+3.29040631E-04"
"28795","+3.29490431E-04"
"28967","+3.28011956E-04"
"29139","+3.28827067E-04"
"29306","+3.28416907E-04"
"29471","+3.28336173E-04"
"29643","+3.27600254E-04"
"29817","+3.28320632E-04"
"29991","+3.28403112E-04"
"30163","+3.28447379E-04"
"30331","+3.27961723E-04"
"30499","+3.28537048E-04"
"30671","+3.28907161E-04"
"30846","+3.28674185E-04"
"31020","+3.28201684E-04"
"31196","+3.28861090E-04"
"31392","+3.29472998E-04"
"31559","+3.29310977E-04"
"31740","+3.29273695E-04"
"31917","+3.28023452E-04"
