"time in ms","power in W"
"1180","+9.22651234E-05"
"1300","+9.22713152E-05"
"1430","+9.22621257E-05"
"1561","+9.22689505E-05"
"1692","+9.22704712E-05"
"1830","+9.23461048E-05"
"1960","+9.23152984E-05"
"2190","+9.23095722E-05"
"2330","+9.22745603E-05"
"2460","+9.23309271E-05"
"2600","+9.22666877E-05"
"2730","+9.22953186E-05"
"2861","+9.22466716E-05"
"3000","+9.22806721E-05"
"3131","+9.22556210E-05"
"3270","+9.22931576E-05"
"3400","+9.22974650E-05"
"3540","+9.22776235E-05"
"3670","+9.22741820E-05"
"3800","+9.22828331E-05"
"3931","+9.22626277E-05"
"4170","+9.22741310E-05"
"4299","+9.22713152E-05"
"4431","+9.22091494E-05"
"4570","+9.22945837E-05"
"4700","+9.22897307E-05"
"4831","+9.22236504E-05"
"4970","+9.22648760E-05"
"5200","+9.22284889E-05"
"5340","+9.22890904E-05"
"5470","+9.22345207E-05"
"5609","+9.22688414E-05"
"5740","+9.22105537E-05"
"5873","+9.22069376E-05"
"6010","+9.22269101E-05"
"6141","+9.22783074E-05"
"6280","+9.22261970E-05"
"6420","+9.22320614E-05"
"6550","+9.21883402E-05"
"6680","+9.22416220E-05"
"6820","+9.22088002E-05"
"6951","+9.22789404E-05"
"7190","+9.22678737E-05"
"7325","+9.22210020E-05"
"7460","+9.22718973E-05"
"7600","+9.22247200E-05"
"7730","+9.22537802E-05"
"7861","+9.22428590E-05"
"8001","+9.22625259E-05"
"8140","+9.22091203E-05"
"8271","+9.22245308E-05"
"8410","+9.22455147E-05"
"8544","+9.21740502E-05"
"8680","+9.21852843E-05"
"8821","+9.21975006E-05"
"8960","+9.22410909E-05"
"9193","+9.22433974E-05"
"9333","+9.22330291E-05"
"9473","+9.22268373E-05"
"9610","+9.22422187E-05"
"9745","+9.21764295E-05"
"9883","+9.22364925E-05"
"10020","+9.22512118E-05"
"10160","+9.21636165E-05"
"10291","+9.21656974E-05"
"10430","+9.22368199E-05"
"10561","+9.22157124E-05"
"10700","+9.22293111E-05"
"10840","+9.22129693E-05"
"10974","+9.22264735E-05"
"11212","+9.21698520E-05"
"11350","+9.22129620E-05"
"11491","+9.22414401E-05"
"11620","+9.22207255E-05"
"11750","+9.22516847E-05"
"11890","+9.21981991E-05"
"12020","+9.22088075E-05"
"12160","+9.22286054E-05"
"12290","+9.22270265E-05"
"12421","+9.21836763E-05"
"12560","+9.22258187E-05"
"12690","+9.22057807E-05"
"12830","+9.22080508E-05"
"12961","+9.22215841E-05"
"13200","+9.21935352E-05"
"13330","+9.21891842E-05"
"13470","+9.21969768E-05"
"13602","+9.22125546E-05"
"13740","+9.22032123E-05"
"13873","+9.22240579E-05"
"14010","+9.21690516E-05"
"14150","+9.21939791E-05"
"14282","+9.21592218E-05"
"14420","+9.22160252E-05"
"14560","+9.22247782E-05"
"14692","+9.21997562E-05"
"14830","+9.21708270E-05"
"14970","+9.22194522E-05"
"15210","+9.22153413E-05"
"15350","+9.21769897E-05"
"15484","+9.21560495E-05"
"15620","+9.22027757E-05"
"15760","+9.21393294E-05"
"15893","+9.21517640E-05"
"16032","+9.21972824E-05"
"16170","+9.22077888E-05"
"16306","+9.22105828E-05"
"16442","+9.21556784E-05"
"16580","+9.21376632E-05"
"16720","+9.22132531E-05"
"16856","+9.22071922E-05"
"16994","+9.21589672E-05"
"17140","+9.22043546E-05"
"17270","+9.21750616E-05"
"17410","+9.21693936E-05"
"17550","+9.21850078E-05"
"17690","+9.21803949E-05"
"17830","+9.21577448E-05"
"17964","+9.21310784E-05"
"18203","+9.21384926E-05"
"18346","+9.21612809E-05"
"18484","+9.21780011E-05"
"18623","+9.21603496E-05"
"18764","+9.21980682E-05"
"18904","+9.21623941E-05"
"19044","+9.21997344E-05"
"19180","+9.21941246E-05"
"19320","+9.21599712E-05"
"19456","+9.21295941E-05"
"19598","+9.22012696E-05"
"19735","+9.21865430E-05"
"19870","+9.21986066E-05"
"20010","+9.21458923E-05"
"20160","+9.21762403E-05"
"20284","+9.21732280E-05"
"20421","+9.21932879E-05"
"20560","+9.21925748E-05"
"20694","+9.21748651E-05"
"20833","+9.21952742E-05"
"20970","+9.21448882E-05"
"21210","+9.21556784E-05"
"21344","+9.21804167E-05"
"21482","+9.21857427E-05"
"21620","+9.21929604E-05"
"21753","+9.21936153E-05"
