"time in ms","power in W"
"1156","+8.25582538E-06"
"1285","+8.38367123E-06"
"1420","+8.37496100E-06"
"1559","+8.33067588E-06"
"1697","+8.30242516E-06"
"1835","+8.24943891E-06"
"1975","+8.17148975E-06"
"2221","+8.33256036E-06"
"2362","+8.19697289E-06"
"2502","+8.13577753E-06"
"2640","+8.26960513E-06"
"2781","+8.14820214E-06"
"2922","+8.25499228E-06"
"3061","+8.29477449E-06"
"3195","+8.14945452E-06"
"3336","+8.12499366E-06"
"3470","+8.26356427E-06"
"3615","+8.32314163E-06"
"3756","+8.14420582E-06"
"3887","+8.09065114E-06"
"4027","+8.15891417E-06"
"4268","+8.10171150E-06"
"4406","+8.12062535E-06"
"4546","+8.11412519E-06"
"4685","+8.09720223E-06"
"4827","+8.25561710E-06"
"4977","+8.11374775E-06"
"5113","+8.23469327E-06"
"5252","+8.18726221E-06"
"5398","+8.09438461E-06"
"5543","+8.16539705E-06"
"5688","+8.23623122E-06"
"5829","+8.17853470E-06"
"5974","+8.21515914E-06"
"6118","+8.13977476E-06"
"6258","+8.10611164E-06"
"6399","+8.24112612E-06"
"6542","+8.14591021E-06"
"6689","+8.17843375E-06"
"6835","+8.17743876E-06"
"6976","+8.04199408E-06"
"7120","+8.13066254E-06"
"7265","+8.21426875E-06"
"7406","+8.17517957E-06"
"7547","+8.08033110E-06"
"7690","+8.13386032E-06"
"7829","+8.11608788E-06"
"7972","+8.03743842E-06"
"8111","+8.09021458E-06"
"8253","+8.12705730E-06"
"8395","+8.08925870E-06"
"8536","+8.12690996E-06"
"8676","+8.16621014E-06"
"8820","+8.16730608E-06"
"8963","+8.01232272E-06"
"9107","+8.02435625E-06"
"9256","+8.11054269E-06"
"9393","+8.11921564E-06"
"9538","+8.08528239E-06"
"9682","+8.13298630E-06"
"9825","+8.17923137E-06"
"9968","+7.99527425E-06"
"10137","+8.05684886E-06"
"10258","+8.08054938E-06"
"10396","+8.00216640E-06"
"10548","+8.06518165E-06"
"10691","+8.05138370E-06"
"10835","+7.98726614E-06"
"10983","+8.04255524E-06"
"11126","+8.05003037E-06"
"11270","+7.97144730E-06"
"11412","+8.09917765E-06"
"11558","+7.99675399E-06"
"11703","+7.97947632E-06"
"11844","+7.96216045E-06"
"11986","+8.04255342E-06"
"12128","+8.12535109E-06"
"12269","+7.96762288E-06"
"12413","+8.12843518E-06"
"12556","+7.95006417E-06"
"12704","+7.95668439E-06"
"12846","+8.10136589E-06"
"12992","+8.07724791E-06"
"13130","+8.07928427E-06"
"13376","+8.04800493E-06"
"13519","+7.99812824E-06"
"13662","+8.01384522E-06"
"13806","+7.94509197E-06"
"13949","+8.04852880E-06"
"14106","+8.02116665E-06"
"14348","+7.96896529E-06"
"14495","+7.96231052E-06"
"14636","+7.93459367E-06"
"14777","+7.97125358E-06"
"14923","+8.06561366E-06"
"15066","+7.94097923E-06"
"15312","+8.03340481E-06"
"15441","+8.02655177E-06"
"15581","+8.00254838E-06"
"15724","+7.93840536E-06"
"15869","+8.09613903E-06"
"16013","+8.09636458E-06"
"16157","+7.95975575E-06"
"16303","+8.08554432E-06"
"16449","+7.91399361E-06"
"16600","+8.09748053E-06"
"16744","+8.04867886E-06"
"16892","+8.05190666E-06"
"17041","+7.97520806E-06"
"17183","+8.09730682E-06"
"17325","+7.92314859E-06"
"17468","+8.03747662E-06"
"17618","+8.08057484E-06"
"17763","+7.98971996E-06"
"17906","+8.06310891E-06"
"18049","+7.91018556E-06"
"18194","+8.06433854E-06"
"18338","+7.93844811E-06"
"18483","+8.06376829E-06"
"18625","+7.96333734E-06"
"18801","+7.89876322E-06"
"18912","+8.01990791E-06"
"19055","+7.99439840E-06"
"19199","+7.98696328E-06"
"19343","+7.88788384E-06"
"19488","+7.95876349E-06"
"19633","+7.92003812E-06"
"19780","+7.89018759E-06"
"19923","+8.00659654E-06"
"20068","+8.04965475E-06"
"20212","+7.97556640E-06"
"20356","+8.04951105E-06"
"20500","+7.90857939E-06"
"20648","+7.99644840E-06"
"20791","+8.06033131E-06"
"20932","+7.89254045E-06"
"21082","+8.03483090E-06"
"21227","+7.87712361E-06"
"21367","+8.02251543E-06"
"21514","+8.02173417E-06"
"21658","+7.92688570E-06"
"21801","+7.92560968E-06"
"21951","+7.89779824E-06"
"22100","+7.99751797E-06"
"22244","+7.88877514E-06"
"22387","+7.87930367E-06"
"22532","+8.02465911E-06"
"22681","+7.89199566E-06"
"22826","+7.86849978E-06"
"22978","+7.99631016E-06"
"23124","+7.95412416E-06"
"23257","+7.87634417E-06"
"23399","+7.85673365E-06"
"23543","+7.98775091E-06"
"23685","+8.02106661E-06"
"23832","+7.89909336E-06"
"23978","+7.95875167E-06"
"24118","+7.97867870E-06"
"24263","+7.94371226E-06"
"24414","+7.91213824E-06"
"24557","+7.94730931E-06"
"24698","+7.97987650E-06"
"24838","+8.00556154E-06"
"24984","+7.85351949E-06"
"25122","+7.89214027E-06"
"25267","+7.99416557E-06"
"25411","+7.85300108E-06"
"25558","+7.99890131E-06"
"25699","+7.96632867E-06"
"25846","+7.86066175E-06"
"25986","+7.84899748E-06"
"26128","+8.00606358E-06"
"26277","+7.84652275E-06"
"26419","+7.99027566E-06"
"26564","+7.97329267E-06"
"26714","+8.00681937E-06"
"26864","+7.90185641E-06"
"27011","+7.84970143E-06"
"27159","+7.83795167E-06"
"27300","+7.94710650E-06"
"27440","+7.84400527E-06"
"27586","+7.84673102E-06"
"27733","+7.87807767E-06"
"27880","+7.95584765E-06"
"28027","+7.83124597E-06"
