"time in ms","power in W"
"1180","+4.36979928E-04"
"1299","+4.37070034E-04"
"1430","+4.36994305E-04"
"1559","+4.36952338E-04"
"1700","+4.36974806E-04"
"1829","+4.36988077E-04"
"1959","+4.37027338E-04"
"2199","+4.37035109E-04"
"2329","+4.37056588E-04"
"2459","+4.37053299E-04"
"2602","+4.36934963E-04"
"2729","+4.36940696E-04"
"2859","+4.36975708E-04"
"2999","+4.37048409E-04"
"3132","+4.37099603E-04"
"3259","+4.37023293E-04"
"3391","+4.37001960E-04"
"3519","+4.37090755E-04"
"3649","+4.36983944E-04"
"3780","+4.37034585E-04"
"3923","+4.37014794E-04"
"4149","+4.36954404E-04"
"4279","+4.37055714E-04"
"4419","+4.36915434E-04"
"4549","+4.37013747E-04"
"4689","+4.37089184E-04"
"4819","+4.36908420E-04"
"4950","+4.37119073E-04"
"5189","+4.36942413E-04"
"5329","+4.37074050E-04"
"5459","+4.37063281E-04"
"5592","+4.36956354E-04"
"5730","+4.36962117E-04"
"5869","+4.37074661E-04"
"5999","+4.36937262E-04"
"6139","+4.36988223E-04"
"6269","+4.37034294E-04"
"6409","+4.37100418E-04"
"6539","+4.37027862E-04"
"6679","+4.36959817E-04"
"6809","+4.37051727E-04"
"6949","+4.37107286E-04"
"7179","+4.37028997E-04"
"7319","+4.37062670E-04"
"7449","+4.37078794E-04"
"7589","+4.36975708E-04"
"7719","+4.36972186E-04"
"7859","+4.37000155E-04"
"8001","+4.37006878E-04"
"8129","+4.37101437E-04"
"8262","+4.36954055E-04"
"8399","+4.36982169E-04"
"8539","+4.37081413E-04"
"8670","+4.37043404E-04"
"8809","+4.37002280E-04"
"8949","+4.37103387E-04"
"9184","+4.37088805E-04"
"9322","+4.37065813E-04"
"9459","+4.37064096E-04"
"9599","+4.36982227E-04"
"9731","+4.37038107E-04"
"9871","+4.37065493E-04"
"10010","+4.36976261E-04"
"10149","+4.37062961E-04"
"10282","+4.36976639E-04"
"10420","+4.37087641E-04"
"10560","+4.37031005E-04"
"10699","+4.37082228E-04"
"10840","+4.37069102E-04"
"10979","+4.37090348E-04"
"11213","+4.37003182E-04"
"11350","+4.36983595E-04"
"11489","+4.37014183E-04"
"11621","+4.37075039E-04"
"11759","+4.36970644E-04"
"11899","+4.36989736E-04"
"12030","+4.37068811E-04"
"12161","+4.37009672E-04"
"12299","+4.37067472E-04"
"12439","+4.37061826E-04"
"12570","+4.37065639E-04"
"12709","+4.37030481E-04"
"12840","+4.36928298E-04"
"12979","+4.36980423E-04"
"13219","+4.37088660E-04"
"13352","+4.37081209E-04"
"13489","+4.36983129E-04"
"13629","+4.36917995E-04"
"13759","+4.37059352E-04"
"13899","+4.37048380E-04"
"14030","+4.36910050E-04"
"14169","+4.37076233E-04"
"14299","+4.36929084E-04"
"14439","+4.37059731E-04"
"14574","+4.37008857E-04"
"14713","+4.36920702E-04"
"14850","+4.37084556E-04"
"14989","+4.36991337E-04"
"15219","+4.36928560E-04"
"15359","+4.37007810E-04"
"15500","+4.37059847E-04"
"15631","+4.37083130E-04"
"15771","+4.37060400E-04"
"15908","+4.36920149E-04"
"16049","+4.37012350E-04"
"16180","+4.36951697E-04"
"16320","+4.37014329E-04"
"16460","+4.37053503E-04"
"16599","+4.37072420E-04"
"16741","+4.37098264E-04"
"16882","+4.36912465E-04"
"17021","+4.36922157E-04"
"17170","+4.37044218E-04"
