"time in ms","power in W"
"133","+2.64183473E-05"
"263","+2.64246610E-05"
"411","+2.65031867E-05"
"545","+2.65801900E-05"
"691","+2.65731560E-05"
"832","+2.64991941E-05"
"979","+2.65780200E-05"
"1125","+2.64086539E-05"
"1262","+2.64071714E-05"
"1414","+2.64119935E-05"
"1546","+2.65012404E-05"
"1684","+2.64722003E-05"
"1821","+2.64513892E-05"
"1962","+2.64142709E-05"
"2203","+2.64232931E-05"
"2339","+2.64402206E-05"
"2478","+2.64129430E-05"
"2617","+2.65936142E-05"
"2756","+2.65578492E-05"
"2893","+2.65455255E-05"
"3034","+2.65470753E-05"
"3167","+2.64202445E-05"
"3304","+2.64364589E-05"
"3448","+2.65608742E-05"
"3589","+2.64502905E-05"
"3728","+2.65241433E-05"
"3870","+2.65747876E-05"
"4012","+2.65727613E-05"
"4178","+2.64182709E-05"
"4315","+2.64842674E-05"
"4455","+2.64282335E-05"
"4606","+2.64943519E-05"
"4746","+2.65766121E-05"
"4894","+2.65911876E-05"
"5039","+2.64086157E-05"
"5185","+2.64646387E-05"
"5324","+2.64252649E-05"
"5465","+2.64832033E-05"
"5603","+2.65814306E-05"
"5743","+2.64866085E-05"
"5883","+2.65731614E-05"
"6028","+2.64448572E-05"
"6163","+2.65120707E-05"
"6303","+2.65857216E-05"
"6440","+2.64321297E-05"
"6584","+2.65703929E-05"
"6723","+2.64172813E-05"
"6863","+2.64208575E-05"
"7004","+2.65653580E-05"
"7239","+2.64217906E-05"
"7382","+2.64472419E-05"
"7523","+2.64418850E-05"
"7664","+2.65228482E-05"
"7803","+2.65702947E-05"
"7941","+2.64747341E-05"
"8080","+2.65862764E-05"
"8234","+2.65617709E-05"
"8376","+2.65422350E-05"
"8520","+2.64532409E-05"
"8663","+2.65302006E-05"
"8804","+2.65781055E-05"
"8947","+2.64406281E-05"
"9091","+2.65952622E-05"
"9233","+2.65032759E-05"
"9375","+2.65530980E-05"
"9519","+2.64251285E-05"
"9667","+2.65472554E-05"
"9809","+2.64313512E-05"
"9961","+2.65876097E-05"
"10104","+2.64634855E-05"
"10240","+2.65641611E-05"
"10379","+2.64522150E-05"
"10534","+2.65954859E-05"
"10662","+2.65200415E-05"
"10805","+2.64963419E-05"
"10939","+2.65713770E-05"
"11077","+2.65589879E-05"
"11218","+2.64346745E-05"
"11357","+2.65601466E-05"
"11495","+2.65872350E-05"
"11634","+2.65880462E-05"
"11784","+2.65840517E-05"
"11910","+2.65843082E-05"
"12052","+2.64391238E-05"
"12296","+2.65479794E-05"
"12433","+2.65732324E-05"
"12574","+2.64539394E-05"
"12710","+2.65859944E-05"
"12853","+2.65072376E-05"
"12995","+2.65058716E-05"
"13137","+2.64547198E-05"
"13280","+2.64500577E-05"
"13427","+2.65748004E-05"
"13569","+2.64818136E-05"
"13711","+2.64426380E-05"
"13853","+2.64953360E-05"
"13996","+2.65984509E-05"
"14134","+2.64269074E-05"
"14274","+2.64571663E-05"
"14413","+2.64811442E-05"
"14553","+2.64916489E-05"
"14700","+2.64875525E-05"
"14841","+2.65245217E-05"
"14984","+2.64178379E-05"
"15124","+2.65983726E-05"
"15263","+2.65826529E-05"
"15405","+2.64631035E-05"
"15550","+2.65434282E-05"
"15690","+2.64816772E-05"
"15833","+2.64345199E-05"
"15974","+2.65929903E-05"
"16118","+2.64487408E-05"
"16264","+2.66095158E-05"
"16406","+2.65542021E-05"
"16551","+2.65593189E-05"
"16697","+2.66082934E-05"
"16839","+2.65461531E-05"
"16984","+2.65900162E-05"
"17135","+2.65534054E-05"
"17281","+2.64630016E-05"
"17424","+2.66182797E-05"
"17566","+2.65463459E-05"
"17708","+2.65871004E-05"
"17852","+2.65742347E-05"
"17995","+2.64514510E-05"
"18145","+2.65969029E-05"
"18291","+2.65979179E-05"
"18430","+2.64508799E-05"
"18575","+2.64684040E-05"
"18723","+2.65885756E-05"
"18870","+2.65888793E-05"
"19020","+2.64522951E-05"
"19165","+2.65618291E-05"
"19306","+2.64798509E-05"
"19449","+2.64454447E-05"
"19595","+2.64561713E-05"
"19743","+2.64709361E-05"
"19886","+2.64476057E-05"
"20028","+2.65667022E-05"
"20173","+2.64928240E-05"
"20313","+2.66060124E-05"
"20452","+2.65276867E-05"
"20590","+2.65277522E-05"
"20733","+2.65386407E-05"
"20876","+2.65802828E-05"
"21020","+2.65149338E-05"
"21161","+2.64645441E-05"
"21300","+2.65228773E-05"
"21438","+2.65589479E-05"
"21581","+2.65833296E-05"
"21719","+2.65866856E-05"
"21865","+2.65084163E-05"
"22007","+2.65256167E-05"
"22151","+2.64796963E-05"
"22304","+2.65087074E-05"
"22438","+2.64896953E-05"
"22583","+2.65230647E-05"
"22730","+2.65656927E-05"
"22894","+2.65432864E-05"
"23039","+2.64967348E-05"
"23188","+2.65246872E-05"
"23329","+2.64893042E-05"
"23475","+2.65082617E-05"
"23620","+2.65893523E-05"
"23766","+2.65784201E-05"
"23910","+2.64980245E-05"
"24047","+2.65998133E-05"
"24195","+2.64728769E-05"
"24345","+2.65020553E-05"
"24485","+2.65167528E-05"
"24638","+2.65494236E-05"
"24780","+2.65313320E-05"
"24926","+2.64730315E-05"
"25069","+2.65151466E-05"
"25217","+2.64807531E-05"
"25366","+2.64896134E-05"
"25506","+2.64728042E-05"
"25650","+2.65010367E-05"
"25796","+2.66035040E-05"
"25950","+2.66118095E-05"
"26096","+2.64750761E-05"
"26242","+2.65339677E-05"
"26385","+2.64830542E-05"
"26536","+2.65520302E-05"
"26685","+2.66094157E-05"
"26832","+2.64840091E-05"
