"time in ms","power in W"
"137","+1.92095231E-05"
"257","+1.93101987E-05"
"401","+1.92121406E-05"
"538","+1.92137486E-05"
"680","+1.93017586E-05"
"818","+1.92144525E-05"
"963","+1.92574807E-05"
"1117","+1.92902735E-05"
"1238","+1.93169235E-05"
"1382","+1.92150128E-05"
"1526","+1.93154920E-05"
"1673","+1.92623575E-05"
"1809","+1.92493990E-05"
"1953","+1.93011256E-05"
"2210","+1.92145271E-05"
"2347","+1.93080468E-05"
"2489","+1.92755761E-05"
"2635","+1.92114549E-05"
"2772","+1.92984917E-05"
"2911","+1.92082080E-05"
"3183","+1.92271564E-05"
"3298","+1.93137894E-05"
"3431","+1.93109863E-05"
"3578","+1.92223542E-05"
"3720","+1.93129272E-05"
"3868","+1.93187116E-05"
"4008","+1.93014130E-05"
"4149","+1.92318184E-05"
"4294","+1.92260031E-05"
"4438","+1.91967938E-05"
"4578","+1.93161250E-05"
"4717","+1.93169417E-05"
"4872","+1.92804910E-05"
"4992","+1.92811731E-05"
"5144","+1.92204752E-05"
"5286","+1.93172036E-05"
"5428","+1.92132848E-05"
"5597","+1.93186188E-05"
"5733","+1.92497773E-05"
"5872","+1.92155767E-05"
"6013","+1.93023498E-05"
"6149","+1.92604857E-05"
"6288","+1.93053093E-05"
"6419","+1.92302559E-05"
"6565","+1.92681055E-05"
"6707","+1.92406787E-05"
"6847","+1.93181422E-05"
"6985","+1.92407060E-05"
"7138","+1.92128136E-05"
"7261","+1.92154293E-05"
"7399","+1.93143969E-05"
"7546","+1.92698935E-05"
"7689","+1.92796288E-05"
"7827","+1.92537755E-05"
"7968","+1.93124779E-05"
"8208","+1.92322241E-05"
"8349","+1.92610314E-05"
"8487","+1.92103980E-05"
"8630","+1.92015905E-05"
"8767","+1.93046162E-05"
"8908","+1.93144551E-05"
"9052","+1.93158521E-05"
"9196","+1.92104544E-05"
"9343","+1.93148535E-05"
"9486","+1.92140433E-05"
"9625","+1.92395091E-05"
"9769","+1.92034295E-05"
"9909","+1.92420630E-05"
"10055","+1.92027765E-05"
"10200","+1.92968928E-05"
"10337","+1.93211563E-05"
"10482","+1.93207125E-05"
"10619","+1.92012303E-05"
"10759","+1.92998159E-05"
"10897","+1.93064861E-05"
"11037","+1.92246571E-05"
"11178","+1.92134303E-05"
"11308","+1.92796742E-05"
"11457","+1.93252599E-05"
"11580","+1.92404950E-05"
"11739","+1.93158903E-05"
"11872","+1.92867792E-05"
"11984","+1.93104734E-05"
"12230","+1.92691568E-05"
"12377","+1.92080461E-05"
"12509","+1.93059041E-05"
"12639","+1.92886728E-05"
"12748","+1.91932686E-05"
"12888","+1.92125935E-05"
"13028","+1.92570333E-05"
"13177","+1.92008101E-05"
"13281","+1.93050055E-05"
"13417","+1.92744046E-05"
"13557","+1.93012529E-05"
"13709","+1.92715979E-05"
"13833","+1.92685802E-05"
"13973","+1.92818989E-05"
"14217","+1.92359821E-05"
"14358","+1.92834850E-05"
"14495","+1.92514872E-05"
"14638","+1.92670759E-05"
"14774","+1.92822408E-05"
"14914","+1.92531443E-05"
"15055","+1.92945990E-05"
"15195","+1.92908519E-05"
"15338","+1.92974985E-05"
"15478","+1.92631633E-05"
"15617","+1.92928310E-05"
"15755","+1.92399802E-05"
"15897","+1.93006308E-05"
"16037","+1.92172229E-05"
"16188","+1.92328480E-05"
"16315","+1.92790030E-05"
"16455","+1.92128882E-05"
"16598","+1.92190546E-05"
"16739","+1.92225816E-05"
"16882","+1.92825555E-05"
"17026","+1.92147691E-05"
"17268","+1.93050582E-05"
"17409","+1.92066400E-05"
"17552","+1.92777879E-05"
"17695","+1.92680181E-05"
"17834","+1.92166863E-05"
"17975","+1.92088992E-05"
"18218","+1.92344614E-05"
"18359","+1.92537536E-05"
"18499","+1.92304269E-05"
"18640","+1.93067372E-05"
"18784","+1.92142106E-05"
"18927","+1.92883981E-05"
"19100","+1.92852494E-05"
"19208","+1.92344596E-05"
"19348","+1.92346124E-05"
"19484","+1.92296302E-05"
"19617","+1.92347306E-05"
"19758","+1.92095868E-05"
"19899","+1.92711286E-05"
"20037","+1.92109019E-05"
"20274","+1.93094766E-05"
"20418","+1.92135049E-05"
"20567","+1.92054013E-05"
"20697","+1.93048636E-05"
"20831","+1.92393800E-05"
"20973","+1.92575335E-05"
"21115","+1.92165353E-05"
"21258","+1.92860716E-05"
"21398","+1.92463067E-05"
"21537","+1.92580428E-05"
"21679","+1.92213483E-05"
"21820","+1.92025545E-05"
"21960","+1.92646803E-05"
"22102","+1.92730240E-05"
"22239","+1.92059633E-05"
"22377","+1.92570569E-05"
"22517","+1.92797615E-05"
"22659","+1.92429197E-05"
"22799","+1.92635543E-05"
"22938","+1.92059906E-05"
"23080","+1.92887692E-05"
"23237","+1.92518364E-05"
"23369","+1.92900152E-05"
"23516","+1.92216066E-05"
"23657","+1.92999796E-05"
"23793","+1.93041396E-05"
"23932","+1.92309344E-05"
"24072","+1.92241314E-05"
"24318","+1.91983709E-05"
"24462","+1.92842399E-05"
"24605","+1.92055177E-05"
"24749","+1.92941570E-05"
"24892","+1.92350053E-05"
"25034","+1.93036267E-05"
"25278","+1.92643784E-05"
"25424","+1.92395419E-05"
"25570","+1.92425086E-05"
"25711","+1.92773277E-05"
"25848","+1.92829193E-05"
"25995","+1.93028736E-05"
"26134","+1.92408570E-05"
"26271","+1.92022853E-05"
"26412","+1.92426469E-05"
"26553","+1.92233347E-05"
"26696","+1.92078351E-05"
"26842","+1.92986645E-05"
"26991","+1.92234638E-05"
"27130","+1.92704629E-05"
"27274","+1.92250172E-05"
"27418","+1.92037787E-05"
"27559","+1.92126663E-05"
"27701","+1.93006290E-05"
"27846","+1.93080959E-05"
"27992","+1.92074858E-05"
