"time in ms","power in W"
"142","+3.40772749E-05"
"263","+3.39857106E-05"
"392","+3.40269944E-05"
"522","+3.41023406E-05"
"662","+3.42272288E-05"
"795","+3.40335464E-05"
"922","+3.39515718E-05"
"1167","+3.41961604E-05"
"1292","+3.39762446E-05"
"1422","+3.41818886E-05"
"1562","+3.41911509E-05"
"1693","+3.41460109E-05"
"1822","+3.42021740E-05"
"1965","+3.40918705E-05"
"2192","+3.41098566E-05"
"2322","+3.39515354E-05"
"2462","+3.39161343E-05"
"2594","+3.41297200E-05"
"2722","+3.39393882E-05"
"2852","+3.40533552E-05"
"2984","+3.40624501E-05"
"3123","+3.41273080E-05"
"3252","+3.41912855E-05"
"3382","+3.40835722E-05"
"3522","+3.39318940E-05"
"3654","+3.41827363E-05"
"3792","+3.42113199E-05"
"3924","+3.40644328E-05"
"4162","+3.39305043E-05"
"4293","+3.40124534E-05"
"4424","+3.40017723E-05"
"4562","+3.42138301E-05"
"4693","+3.41225241E-05"
"4833","+3.41952364E-05"
"4965","+3.39644284E-05"
"5112","+3.41946215E-05"
"5233","+3.41207488E-05"
"5372","+3.40513106E-05"
"5502","+3.41731466E-05"
"5632","+3.39775543E-05"
"5773","+3.40724800E-05"
"5904","+3.41830346E-05"
"6042","+3.41525993E-05"
"6172","+3.39504004E-05"
"6312","+3.39436701E-05"
"6442","+3.42131680E-05"
"6582","+3.40782790E-05"
"6712","+3.42050334E-05"
"6852","+3.41212981E-05"
"6982","+3.40975203E-05"
"7213","+3.41357336E-05"
"7352","+3.42051608E-05"
"7488","+3.39873404E-05"
"7625","+3.40756378E-05"
"7762","+3.40550687E-05"
"7902","+3.41160085E-05"
"8035","+3.41988307E-05"
"8172","+3.42305975E-05"
"8306","+3.40814768E-05"
"8444","+3.39593134E-05"
"8583","+3.40837287E-05"
"8722","+3.39536746E-05"
"8856","+3.41927844E-05"
"8993","+3.41810482E-05"
"9232","+3.41260711E-05"
"9373","+3.40126026E-05"
"9507","+3.41299929E-05"
"9643","+3.40342704E-05"
"9782","+3.39906510E-05"
"9922","+3.41900050E-05"
"10054","+3.39481703E-05"
"10193","+3.40253064E-05"
"10323","+3.39203725E-05"
"10462","+3.41318810E-05"
"10593","+3.39121216E-05"
"10732","+3.40873376E-05"
"10866","+3.41561645E-05"
"11002","+3.41768427E-05"
"11237","+3.41572959E-05"
"11373","+3.40017614E-05"
"11512","+3.40946353E-05"
"11642","+3.39119251E-05"
"11773","+3.40959486E-05"
"11912","+3.39220060E-05"
"12045","+3.41762025E-05"
"12182","+3.39670478E-05"
"12313","+3.39684229E-05"
"12452","+3.40648257E-05"
"12585","+3.38932259E-05"
"12722","+3.40122751E-05"
"12855","+3.41224695E-05"
"12992","+3.41711711E-05"
"13232","+3.38967184E-05"
"13362","+3.39361250E-05"
"13502","+3.40495135E-05"
"13632","+3.41503728E-05"
"13772","+3.39721191E-05"
"13902","+3.39870530E-05"
"14042","+3.39966718E-05"
"14187","+3.39191283E-05"
"14312","+3.40974148E-05"
"14449","+3.39159269E-05"
"14584","+3.41291452E-05"
"14722","+3.41452142E-05"
"14862","+3.39028084E-05"
"14992","+3.41377417E-05"
"15227","+3.39156504E-05"
"15363","+3.38811369E-05"
"15502","+3.41242885E-05"
"15643","+3.39827347E-05"
"15775","+3.39851249E-05"
"15912","+3.41626001E-05"
"16052","+3.40098559E-05"
"16192","+3.41608902E-05"
"16323","+3.38908212E-05"
"16462","+3.39250328E-05"
"16599","+3.38561404E-05"
"16738","+3.38526443E-05"
"16873","+3.40511651E-05"
"17012","+3.38813697E-05"
"17252","+3.40015467E-05"
"17389","+3.40202314E-05"
"17526","+3.38756618E-05"
"17662","+3.38783866E-05"
"17802","+3.38877908E-05"
"17936","+3.39337821E-05"
"18074","+3.38828722E-05"
"18212","+3.38895479E-05"
"18352","+3.39786820E-05"
"18489","+3.41425766E-05"
"18628","+3.39300568E-05"
"18764","+3.40034057E-05"
"18902","+3.40523802E-05"
"19041","+3.41061350E-05"
"19192","+3.40109109E-05"
"19312","+3.39671278E-05"
"19452","+3.41654377E-05"
"19583","+3.38907448E-05"
"19722","+3.41295090E-05"
"19852","+3.40775659E-05"
"19992","+3.39999024E-05"
"20222","+3.41589730E-05"
"20362","+3.40142069E-05"
"20497","+3.39034959E-05"
"20633","+3.39094877E-05"
"20773","+3.39828548E-05"
"20912","+3.40936458E-05"
"21044","+3.40709448E-05"
"21192","+3.41300147E-05"
"21316","+3.39121070E-05"
"21452","+3.41535924E-05"
"21587","+3.41184677E-05"
"21727","+3.41346386E-05"
"21862","+3.40880470E-05"
"22002","+3.40700135E-05"
"22235","+3.40437400E-05"
"22373","+3.39175422E-05"
"22512","+3.39430771E-05"
"22652","+3.40420665E-05"
"22792","+3.39347498E-05"
"22932","+3.39201833E-05"
"23067","+3.40963561E-05"
"23202","+3.41209561E-05"
"23343","+3.41118866E-05"
"23478","+3.39786457E-05"
"23614","+3.39131111E-05"
"23752","+3.39694998E-05"
"23893","+3.41551822E-05"
"24032","+3.39037288E-05"
"24268","+3.39942198E-05"
"24407","+3.41326195E-05"
"24544","+3.41187115E-05"
"24682","+3.40696024E-05"
"24818","+3.40270599E-05"
"24956","+3.39301550E-05"
"25094","+3.39578510E-05"
"25232","+3.41549894E-05"
"25366","+3.39380131E-05"
"25502","+3.40517399E-05"
"25643","+3.39353574E-05"
"25774","+3.39068938E-05"
"25912","+3.40681763E-05"
"26052","+3.39383550E-05"
"26287","+3.39018734E-05"
"26423","+3.40743245E-05"
"26563","+3.40804872E-05"
"26698","+3.40846527E-05"
"26835","+3.39566614E-05"
"26975","+3.41006526E-05"
"27112","+3.39953476E-05"
"27252","+3.39197286E-05"
"27388","+3.40419174E-05"
"27523","+3.39163416E-05"
"27663","+3.39597136E-05"
"27798","+3.41638333E-05"
"27936","+3.40985134E-05"
"28074","+3.40914594E-05"
"28313","+3.40709630E-05"
"28451","+3.41632986E-05"
"28593","+3.40257684E-05"
"28732","+3.39143298E-05"
"28865","+3.39588514E-05"
"29002","+3.39867074E-05"
"29143","+3.39467369E-05"
"29276","+3.39325525E-05"
"29414","+3.41738341E-05"
"29554","+3.40219922E-05"
"29692","+3.40894803E-05"
"29828","+3.39150611E-05"
"29966","+3.41374143E-05"
"30104","+3.41403211E-05"
"30254","+3.41358682E-05"
"30377","+3.40015031E-05"
"30516","+3.39036633E-05"
"30656","+3.39474100E-05"
"30796","+3.38727004E-05"
"30934","+3.40778934E-05"
"31072","+3.39233484E-05"
"31312","+3.41453524E-05"
"31452","+3.41570594E-05"
"31589","+3.41586565E-05"
"31728","+3.41345112E-05"
"31866","+3.40949482E-05"
"32006","+3.41333725E-05"
"32147","+3.41121486E-05"
"32283","+3.39658327E-05"
"32424","+3.40213519E-05"
"32563","+3.38844366E-05"
"32702","+3.40391707E-05"
"32842","+3.39516773E-05"
"32982","+3.41618215E-05"
"33122","+3.39850885E-05"
"33271","+3.40298830E-05"
"33399","+3.39589315E-05"
"33540","+3.41119630E-05"
"33679","+3.39833714E-05"
"33819","+3.40570878E-05"
"33959","+3.41439627E-05"
"34100","+3.41560371E-05"
"34342","+3.41581908E-05"
"34480","+3.38965547E-05"
"34622","+3.39213366E-05"
"34764","+3.41561499E-05"
"34902","+3.39632024E-05"
"35044","+3.41508021E-05"
"35183","+3.41349660E-05"
"35322","+3.40031547E-05"
"35461","+3.39554063E-05"
"35602","+3.41168925E-05"
"35742","+3.39595244E-05"
"35880","+3.41410705E-05"
"36020","+3.40110309E-05"
"36162","+3.40538973E-05"
"36304","+3.39692451E-05"
"36443","+3.41544401E-05"
"36584","+3.41449086E-05"
"36725","+3.41744126E-05"
"36865","+3.42081330E-05"
"37006","+3.39295038E-05"
"37150","+3.40051847E-05"
"37302","+3.41188897E-05"
"37430","+3.40149127E-05"
"37576","+3.39412327E-05"
"37717","+3.41397208E-05"
"37858","+3.41763662E-05"
"37998","+3.40920633E-05"
"38138","+3.41756568E-05"
"38380","+3.40025290E-05"
"38521","+3.39321668E-05"
"38662","+3.39626422E-05"
"38803","+3.42189960E-05"
"38945","+3.42172279E-05"
"39086","+3.42350904E-05"
"39227","+3.39366707E-05"
"39366","+3.39616672E-05"
"39508","+3.41460145E-05"
"39650","+3.39276412E-05"
"39790","+3.40525621E-05"
"39935","+3.40821207E-05"
"40075","+3.41898740E-05"
"40218","+3.39669641E-05"
"40358","+3.42329804E-05"
"40497","+3.41158520E-05"
"40639","+3.41931081E-05"
"40783","+3.39975122E-05"
"40924","+3.40105507E-05"
"41066","+3.42322201E-05"
"41209","+3.39185899E-05"
"41352","+3.41276173E-05"
"41492","+3.40677434E-05"
"41636","+3.40724255E-05"
"41779","+3.41231207E-05"
"41922","+3.39664330E-05"
"42063","+3.39442850E-05"
"42205","+3.40038387E-05"
"42352","+3.40660554E-05"
"42490","+3.39573817E-05"
"42632","+3.40170736E-05"
"42773","+3.39907929E-05"
"42917","+3.42046078E-05"
"43060","+3.39928811E-05"
"43200","+3.41721388E-05"
"43352","+3.42245439E-05"
"43483","+3.42274470E-05"
"43627","+3.39894395E-05"
"43770","+3.42708045E-05"
"43911","+3.40014521E-05"
"44054","+3.39465187E-05"
"44198","+3.41745617E-05"
"44339","+3.40118204E-05"
"44481","+3.42343956E-05"
"44626","+3.40769002E-05"
