"time in ms","power in W"
"139","+4.24604397E-04"
"260","+4.24395665E-04"
"389","+4.24540456E-04"
"530","+4.24296566E-04"
"659","+4.24579397E-04"
"802","+4.24625177E-04"
"929","+4.24552360E-04"
"1169","+4.24592901E-04"
"1299","+4.24462487E-04"
"1429","+4.24378086E-04"
"1569","+4.24593018E-04"
"1700","+4.24568920E-04"
"1830","+4.24622296E-04"
"1969","+4.24647063E-04"
"2201","+4.24431375E-04"
"2339","+4.24595142E-04"
"2469","+4.24564234E-04"
"2610","+4.24374040E-04"
"2739","+4.24377591E-04"
"2870","+4.24310507E-04"
"3010","+4.24588128E-04"
"3151","+4.24491067E-04"
"3279","+4.24424798E-04"
"3410","+4.24641476E-04"
"3549","+4.24315745E-04"
"3680","+4.24440455E-04"
"3809","+4.24633909E-04"
"3949","+4.24401776E-04"
"4181","+4.24622966E-04"
"4319","+4.24374710E-04"
"4459","+4.24364698E-04"
"4590","+4.24496655E-04"
"4720","+4.24347789E-04"
"4859","+4.24485508E-04"
"4993","+4.24645870E-04"
"5139","+4.24598751E-04"
"5259","+4.24648169E-04"
"5399","+4.24591912E-04"
"5533","+4.24350641E-04"
"5669","+4.24616534E-04"
"5809","+4.24700993E-04"
"5939","+4.24353784E-04"
"6171","+4.24633239E-04"
"6309","+4.24411526E-04"
"6440","+4.24597587E-04"
"6580","+4.24445985E-04"
"6709","+4.24600468E-04"
"6849","+4.24426747E-04"
"6980","+4.24510188E-04"
"7220","+4.24586644E-04"
"7359","+4.24496713E-04"
"7489","+4.24655766E-04"
"7629","+4.24374652E-04"
"7763","+4.24394180E-04"
"7900","+4.24629572E-04"
"8041","+4.24571190E-04"
"8169","+4.24474099E-04"
"8309","+4.24618192E-04"
"8443","+4.24347178E-04"
"8579","+4.24423662E-04"
"8719","+4.24468250E-04"
"8860","+4.24417056E-04"
"8995","+4.24601109E-04"
"9235","+4.24392347E-04"
"9373","+4.24546335E-04"
"9511","+4.24328086E-04"
"9649","+4.24487778E-04"
"9783","+4.24398051E-04"
"9919","+4.24485217E-04"
"10061","+4.24656493E-04"
"10191","+4.24593483E-04"
"10329","+4.24327009E-04"
"10462","+4.24668484E-04"
"10599","+4.24376572E-04"
"10731","+4.24625963E-04"
"10869","+4.24648082E-04"
"11002","+4.24472499E-04"
"11239","+4.24444064E-04"
"11370","+4.24446946E-04"
"11509","+4.24436847E-04"
"11640","+4.24540718E-04"
"11779","+4.24381986E-04"
"11909","+4.24708880E-04"
"12049","+4.24683734E-04"
"12180","+4.24416561E-04"
"12323","+4.24683269E-04"
"12449","+4.24526457E-04"
"12589","+4.24641592E-04"
"12721","+4.24631929E-04"
"12859","+4.24752448E-04"
"12999","+4.24676953E-04"
"13229","+4.24603699E-04"
"13369","+4.24575090E-04"
"13502","+4.24649043E-04"
"13640","+4.24807862E-04"
"13780","+4.24501573E-04"
"13912","+4.24832804E-04"
"14050","+4.24854370E-04"
"14182","+4.24798200E-04"
"14320","+4.24808124E-04"
"14453","+4.24766855E-04"
"14590","+4.24765924E-04"
"14729","+4.24707803E-04"
"14870","+4.24556172E-04"
"15004","+4.24570055E-04"
"15244","+4.24701168E-04"
"15382","+4.24771744E-04"
"15520","+4.24812315E-04"
"15659","+4.24572150E-04"
"15800","+4.24803147E-04"
"15939","+4.24833182E-04"
"16072","+4.24600730E-04"
"16209","+4.24811675E-04"
"16350","+4.24813596E-04"
"16480","+4.24723228E-04"
"16619","+4.24787402E-04"
"16759","+4.24735917E-04"
"16899","+4.24706202E-04"
"17036","+4.24640224E-04"
"17189","+4.24567639E-04"
"17309","+4.24628088E-04"
"17450","+4.24635480E-04"
"17589","+4.24768310E-04"
"17725","+4.24606202E-04"
"17863","+4.24774975E-04"
"17999","+4.24807047E-04"
"18239","+4.24620375E-04"
"18379","+4.24785365E-04"
"18515","+4.24773112E-04"
"18654","+4.24626371E-04"
"18791","+4.24687169E-04"
"18930","+4.24602971E-04"
"19071","+4.24863742E-04"
"19210","+4.24658356E-04"
"19349","+4.24709724E-04"
"19482","+4.24829312E-04"
"19620","+4.24583821E-04"
"19759","+4.24558297E-04"
"19892","+4.24824655E-04"
"20030","+4.24615166E-04"
"20269","+4.24580794E-04"
"20404","+4.24696889E-04"
"20543","+4.24557482E-04"
"20680","+4.24568250E-04"
"20819","+4.24772472E-04"
"20951","+4.24609811E-04"
"21090","+4.24593076E-04"
"21229","+4.24630474E-04"
"21363","+4.24843136E-04"
"21499","+4.24691796E-04"
"21639","+4.24877711E-04"
"21774","+4.24680999E-04"
"21910","+4.24634229E-04"
"22049","+4.24622151E-04"
"22189","+4.24911763E-04"
"22319","+4.24790283E-04"
"22460","+4.24847094E-04"
"22599","+4.24884987E-04"
"22733","+4.24648664E-04"
"22870","+4.24783822E-04"
"23009","+4.24791040E-04"
"23249","+4.24630678E-04"
"23383","+4.24738333E-04"
"23519","+4.24710946E-04"
"23659","+4.24607628E-04"
"23792","+4.24867874E-04"
"23930","+4.24905564E-04"
"24069","+4.24872385E-04"
"24304","+4.24827420E-04"
"24440","+4.24645521E-04"
"24579","+4.24748665E-04"
"24720","+4.24875790E-04"
"24852","+4.24694066E-04"
"24990","+4.24702564E-04"
"25130","+4.24934435E-04"
"25262","+4.24638536E-04"
"25403","+4.24626138E-04"
"25540","+4.24849073E-04"
"25675","+4.24813421E-04"
"25813","+4.24646452E-04"
"25949","+4.24899830E-04"
"26089","+4.24803002E-04"
"26327","+4.24561178E-04"
"26461","+4.24616504E-04"
"26599","+4.24762315E-04"
"26740","+4.24571539E-04"
"26876","+4.24836966E-04"
"27016","+4.24661033E-04"
"27155","+4.24793630E-04"
"27292","+4.24689148E-04"
"27429","+4.24670638E-04"
"27564","+4.24641446E-04"
"27701","+4.24622936E-04"
"27839","+4.24724072E-04"
"27979","+4.24722879E-04"
"28119","+4.24739119E-04"
"28269","+4.24811180E-04"
"28389","+4.24754515E-04"
"28529","+4.24598751E-04"
"28670","+4.24729835E-04"
"28809","+4.24609811E-04"
"28945","+4.24675149E-04"
"29084","+4.24715050E-04"
"29325","+4.24630096E-04"
"29463","+4.24509984E-04"
"29600","+4.24596365E-04"
"29739","+4.24709666E-04"
"29879","+4.24670143E-04"
"30019","+4.24725382E-04"
"30160","+4.24659404E-04"
"30296","+4.24604805E-04"
"30435","+4.24576137E-04"
"30573","+4.24660975E-04"
"30711","+4.24687925E-04"
"30849","+4.24662780E-04"
"30989","+4.24558355E-04"
"31129","+4.24649741E-04"
"31266","+4.24470782E-04"
"31405","+4.24632133E-04"
"31544","+4.24539350E-04"
"31685","+4.24648344E-04"
"31824","+4.24709782E-04"
"31964","+4.24552185E-04"
"32104","+4.24565602E-04"
"32347","+4.24495665E-04"
"32486","+4.24651691E-04"
"32630","+4.24429425E-04"
"32769","+4.24427446E-04"
"32910","+4.24458733E-04"
"33049","+4.24537837E-04"
"33190","+4.24577389E-04"
"33329","+4.24430997E-04"
"33466","+4.24484519E-04"
"33606","+4.24686063E-04"
"33748","+4.24544618E-04"
"33889","+4.24396014E-04"
"34029","+4.24584228E-04"
"34166","+4.24628990E-04"
"34309","+4.24655766E-04"
"34445","+4.24656115E-04"
"34584","+4.24463273E-04"
"34725","+4.24655940E-04"
"34865","+4.24630824E-04"
"35008","+4.24455095E-04"
"35150","+4.24390921E-04"
"35389","+4.24632715E-04"
"35530","+4.24573838E-04"
"35671","+4.24562575E-04"
"35811","+4.24610625E-04"
"35953","+4.24563477E-04"
"36093","+4.24536847E-04"
"36234","+4.24507394E-04"
"36373","+4.24321712E-04"
"36515","+4.24304075E-04"
"36657","+4.24363272E-04"
"36801","+4.24533471E-04"
"36943","+4.24334663E-04"
"37082","+4.24462341E-04"
"37222","+4.24506026E-04"
"37365","+4.24538885E-04"
"37505","+4.24430647E-04"
"37646","+4.24308324E-04"
"37788","+4.24371188E-04"
"37929","+4.24253725E-04"
"38069","+4.24312777E-04"
"38210","+4.24531812E-04"
"38359","+4.24460042E-04"
"38491","+4.24350350E-04"
"38634","+4.24465339E-04"
"38777","+4.24369151E-04"
"38920","+4.24331927E-04"
"39059","+4.24360653E-04"
"39200","+4.24507860E-04"
"39442","+4.24324739E-04"
"39584","+4.24319383E-04"
"39725","+4.24391590E-04"
"39866","+4.24508617E-04"
"40011","+4.24404599E-04"
"40157","+4.24345140E-04"
"40401","+4.24620375E-04"
"40543","+4.24609549E-04"
"40685","+4.24537197E-04"
"40827","+4.24555503E-04"
"40971","+4.24576196E-04"
"41115","+4.24654398E-04"
"41257","+4.24634316E-04"
"41399","+4.24358266E-04"
"41542","+4.24621423E-04"
"41686","+4.24626895E-04"
"41827","+4.24643542E-04"
"41972","+4.24642436E-04"
"42115","+4.24429687E-04"
"42262","+4.24408994E-04"
"42406","+4.24573838E-04"
"42551","+4.24373051E-04"
"42692","+4.24368569E-04"
"42834","+4.24394442E-04"
"42975","+4.24420083E-04"
"43119","+4.24559956E-04"
"43263","+4.24402591E-04"
"43405","+4.24444821E-04"
"43547","+4.24393365E-04"
